"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.11.2","javax.annotation",13,105,42,"Nonnull,Nullable",""
"axon-configuration-4.11.2","org.slf4j",11,32,42,"Logger,LoggerFactory",""
"axon-disruptor-4.11.2","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.11.2","com.lmax.disruptor",9,25,22,"ExceptionHandler,EventHandler,LifecycleAware,RingBuffer,BlockingWaitStrategy,WaitStrategy",""
"axon-disruptor-4.11.2","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.11.2","com.lmax.disruptor.dsl",5,21,22,"Disruptor,EventHandlerGroup,ProducerType",""
"axon-disruptor-4.11.2","WeakValue",1,2,22,"WeakValue",""
"axon-eventsourcing-4.11.2","javax.annotation",29,99,133,"Nullable,Nonnull,PreDestroy",""
"axon-eventsourcing-4.11.2","org.slf4j",23,43,133,"Logger,LoggerFactory",""
"axon-eventsourcing-4.11.2","jakarta.persistence",11,48,133,"MappedSuperclass,Id,IdClass,EntityManager,Query,TypedQuery,EntityExistsException,Entity,Index,Table",""
"axon-eventsourcing-4.11.2","javax.persistence",11,48,133,"EntityExistsException,MappedSuperclass,IdClass,Id,Entity,Query,EntityManager,TypedQuery,Table,Index",""
"axon-messaging-4.11.2","javax.annotation",259,1253,808,"Nonnull,Nullable",""
"axon-messaging-4.11.2","org.slf4j",147,457,808,"Logger,LoggerFactory",""
"axon-messaging-4.11.2","com.fasterxml.jackson.annotation",53,81,808,"JsonProperty,JsonCreator,JsonTypeInfo,JsonIgnore,JsonGetter,JsonTypeInfo$Id,JsonTypeInfo$As",""
"axon-messaging-4.11.2","javax.persistence",44,174,808,"Entity,Column,Basic,Table,Index,Embedded,Lob,Id,MappedSuperclass,EntityManager,TypedQuery,NoResultException,Query,Embeddable,LockModeType,IdClass,GeneratedValue",""
"axon-messaging-4.11.2","jakarta.persistence",40,168,808,"Id,Basic,Embedded,Lob,Table,Index,Entity,Column,MappedSuperclass,EntityManager,Query,TypedQuery,NoResultException,LockModeType,Embeddable,IdClass,GeneratedValue",""
"axon-messaging-4.11.2","org.quartz",35,185,808,"Scheduler,JobDataMap,SchedulerException,SchedulerContext,TriggerBuilder,JobKey,Trigger,JobDetail,JobBuilder,Job,JobExecutionContext,JobExecutionException",""
"axon-messaging-4.11.2","reactor.core.publisher",35,142,808,"MonoSink,Mono,Flux,Signal,FluxSink,Sinks$EmitResult,Sinks$Many,ConnectableFlux,Sinks,EmitterProcessor,FluxSink$OverflowStrategy,Sinks$MulticastReplaySpec,Sinks$ManySpec",""
"axon-messaging-4.11.2","org.apache.avro",16,54,808,"Schema,SchemaCompatibility$Incompatibility,AvroRuntimeException,SchemaCompatibility$SchemaCompatibilityResult,InvalidNumberEncodingException,SchemaCompatibility$SchemaPairCompatibility,InvalidAvroMagicException,SchemaCompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityType,SchemaNormalization",""
"axon-messaging-4.11.2","com.fasterxml.jackson.databind",15,65,808,"DeserializationContext,JsonDeserializer,ObjectMapper,ObjectMapper$DefaultTyping,DeserializationFeature,JsonNode,ObjectWriter,ObjectReader",""
"axon-messaging-4.11.2","org.reactivestreams",13,37,808,"Publisher",""
"axon-messaging-4.11.2","com.github.kagkarlsson.scheduler.task",10,40,808,"TaskInstanceId,Task,TaskWithDataDescriptor,TaskInstance,ExecutionContext",""
"axon-messaging-4.11.2","com.thoughtworks.xstream.io",9,39,808,"HierarchicalStreamReader,HierarchicalStreamDriver,HierarchicalStreamWriter",""
"axon-messaging-4.11.2","javax.cache.event",8,26,808,"CacheEntryEvent,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryListenerException,CacheEntryEventFilter,CacheEntryCreatedListener,CacheEntryUpdatedListener,CacheEntryListener",""
"axon-messaging-4.11.2","org.ehcache.event",8,30,808,"CacheEventListener,EventType,CacheEvent,EventOrdering,EventFiring",""
"axon-messaging-4.11.2","com.github.kagkarlsson.scheduler",7,46,808,"Scheduler,SchedulerState,ScheduledExecution",""
"axon-messaging-4.11.2","org.apache.avro.generic",7,26,808,"GenericRecord,GenericDatumReader,GenericData",""
"axon-messaging-4.11.2","org.apache.avro.message",7,23,808,"SchemaStore,BadHeaderException,BinaryMessageEncoder,BinaryMessageDecoder",""
"axon-messaging-4.11.2","com.thoughtworks.xstream.converters",6,6,808,"UnmarshallingContext,MarshallingContext",""
"axon-messaging-4.11.2","org.jobrunr.scheduling",6,31,808,"JobBuilder,JobScheduler",""
"axon-messaging-4.11.2","com.thoughtworks.xstream.mapper",5,6,808,"Mapper,CannotResolveClassException",""
"axon-messaging-4.11.2","jakarta.validation",5,15,808,"ConstraintViolation,Validator,Validation,ValidatorFactory",""
"axon-messaging-4.11.2","javax.validation",5,15,808,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"axon-messaging-4.11.2","net.sf.ehcache",5,47,808,"Ehcache,CacheException,Element",""
"axon-messaging-4.11.2","nu.xom",5,15,808,"Document,Builder,ParsingException",""
"axon-messaging-4.11.2","com.fasterxml.jackson.core",4,7,808,"JacksonException,JsonParser,JsonProcessingException",""
"axon-messaging-4.11.2","com.thoughtworks.xstream",4,42,808,"XStream",""
"axon-messaging-4.11.2","com.thoughtworks.xstream.io.xml",4,13,808,"Dom4JReader,XomReader,XppDriver,CompactWriter",""
"axon-messaging-4.11.2","org.apache.avro.specific",4,16,808,"SpecificRecordBase,SpecificData",""
"axon-messaging-4.11.2","com.fasterxml.jackson.databind.node",3,12,808,"JsonNodeType,ObjectNode",""
"axon-messaging-4.11.2","com.fasterxml.jackson.databind.type",3,3,808,"TypeFactory",""
"axon-messaging-4.11.2","com.thoughtworks.xstream.converters.collections",3,7,808,"CollectionConverter,MapConverter",""
"axon-messaging-4.11.2","javax.cache.configuration",3,9,808,"CacheEntryListenerConfiguration,Factory",""
"axon-messaging-4.11.2","net.sf.ehcache.event",3,7,808,"CacheEventListener,RegisteredEventListeners",""
"axon-messaging-4.11.2","org.dom4j",3,11,808,"Document",""
"axon-messaging-4.11.2","com.github.kagkarlsson.scheduler.task.helper",2,14,808,"Tasks$OneTimeTaskBuilder",""
"axon-messaging-4.11.2","org.jobrunr.jobs.states",2,7,808,"StateName,IllegalJobStateChangeException",""
"axon-messaging-4.11.2","reactor.util.concurrent",2,3,808,"Queues",""
"axon-messaging-4.11.2","reactor.util.context",2,6,808,"Context,ContextView",""
"axon-messaging-4.11.2","com.fasterxml.jackson.databind.jsontype",1,2,808,"TypeDeserializer",""
"axon-messaging-4.11.2","com.fasterxml.jackson.databind.module",1,3,808,"SimpleModule",""
"axon-messaging-4.11.2","com.fasterxml.jackson.datatype.jsr310",1,2,808,"JavaTimeModule",""
"axon-messaging-4.11.2","javax.cache",1,13,808,"Cache",""
"axon-messaging-4.11.2","org.apache.avro.io",1,3,808,"DecoderFactory",""
