"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-eventsourcing-5.1.1",,,false,,,1,26,10,26,4,1,4,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/handler,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/eventstore/inmemory,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.1.1 -> axon-eventsourcing-5.1.1","",""
"axon-eventsourcing-5.1.1",,,true,,,1,26,10,26,6,2,6,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/eventhandling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/core/interception,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/common/io,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/entity/annotation","axon-eventsourcing-5.1.1 -> axon-messaging-5.1.1,axon-eventsourcing-5.1.1 -> axon-common-5.1.1,axon-eventsourcing-5.1.1 -> axon-modelling-5.1.1","",""
"axon-eventsourcing-5.1.1",,,true,,,2,18,5,18,5,1,5,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/commandhandling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/core/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/queryhandling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/entity","axon-eventsourcing-5.1.1 -> axon-messaging-5.1.1,axon-eventsourcing-5.1.1 -> axon-modelling-5.1.1","",""
"axon-messaging-5.1.1",,,false,,,1,26,10,26,4,4,4,"/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/messaging/eventhandling/replay,/org/axonframework/messaging/commandhandling/retry -> /org/axonframework/messaging/core/retry,/org/axonframework/messaging/core/reflection -> /org/axonframework/messaging/core/configuration/reflection,/org/axonframework/messaging/eventhandling/tracing -> /org/axonframework/messaging/tracing","axon-messaging-5.1.1 -> axon-messaging-5.1.1","",""
"axon-metrics-micrometer-5.1.1",,,false,,,1,26,10,26,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer","axon-metrics-micrometer-5.1.1 -> axon-metrics-micrometer-5.1.1","",""
"axon-metrics-micrometer-5.1.1",,,false,,,2,18,5,18,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer/reservoir","axon-metrics-micrometer-5.1.1 -> axon-metrics-micrometer-5.1.1","",""
"axon-metrics-micrometer-5.1.1",,,true,,,2,18,5,18,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/messaging/monitoring/configuration","axon-metrics-micrometer-5.1.1 -> axon-messaging-5.1.1","",""
"axon-test-5.1.1",,,false,,,1,26,10,26,1,1,1,"/org/axonframework/test/extension -> /org/axonframework/test/fixture","axon-test-5.1.1 -> axon-test-5.1.1","",""
"axon-test-5.1.1",,,false,,,2,18,5,18,2,1,2,"/org/axonframework/test/extension -> /org/axonframework/test/matchers,/org/axonframework/test/extension -> /org/axonframework/test/util","axon-test-5.1.1 -> axon-test-5.1.1","",""
"axon-test-5.1.1",,,false,,,3,21,2,21,1,1,1,"/org/axonframework/test/extension -> /org/axonframework/test","axon-test-5.1.1 -> axon-test-5.1.1","",""
