"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Set_Outgoing_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling","eventhandling",767,2557,111,52,21,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core","core",447,1591,96,78,30,2,""
"axon-modelling-5.1.1","org.axonframework.modelling","modelling",390,1149,64,23,19,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing","processing",381,1428,83,14,18,2,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing","eventsourcing",370,1204,100,17,31,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming","streaming",295,1105,81,12,20,2,""
"axon-modelling-5.1.1","org.axonframework.modelling.entity","entity",287,913,48,11,17,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling","commandhandling",285,914,67,26,14,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling","queryhandling",260,951,63,16,12,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",256,1031,79,2,20,2,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore","eventstore",202,644,60,8,19,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork","unitofwork",198,749,17,56,10,2,""
"axon-modelling-5.1.1","org.axonframework.modelling.entity.annotation","annotation",186,707,49,5,18,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception","interception",172,590,43,2,11,1,""
"axon-test-5.1.1","org.axonframework.test","test",168,510,45,10,14,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","event",142,417,59,0,18,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.configuration","configuration",140,439,46,7,18,1,""
"axon-test-5.1.1","org.axonframework.test.fixture","fixture",138,493,43,9,15,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.annotation","annotation",129,342,39,11,10,1,""
"axon-common-5.1.1","org.axonframework.common.configuration","configuration",126,384,12,44,4,0,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.configuration","configuration",113,362,66,5,28,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.configuration","configuration",107,616,84,0,28,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay","replay",91,195,27,5,8,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.monitoring","monitoring",86,246,27,3,9,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",84,284,48,2,13,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.annotation","annotation",76,240,43,1,14,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.jpa","jpa",75,252,51,0,16,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token","token",64,355,21,8,10,2,""
"axon-modelling-5.1.1","org.axonframework.modelling.configuration","configuration",64,162,29,6,9,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.interception","interception",63,184,19,0,5,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.interception","interception",56,138,21,0,7,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","query",54,187,30,0,12,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",54,169,21,6,9,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.annotation","annotation",53,105,36,1,12,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation","annotation",52,150,25,0,14,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.monitoring.configuration","configuration",51,159,20,1,9,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.monitoring.interception","interception",50,155,15,0,6,0,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",48,129,25,0,7,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",48,327,17,0,9,2,""
