"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.conversion","conversion",0.6481481481481481,0.2916666666666667,0.8333333333333334,0.3333333333333333,0.3333333333333333,35,19,7,17,5,1,6,12,2,4,""
"axon-common-5.0.3","org.axonframework.common.caching","caching",0.6615384615384615,0.5416666666666666,1,0.6666666666666666,0,43,22,13,11,3,0,2,1,0,0,""
"axon-test-5.0.3","org.axonframework.test.extension","extension",0.6875,0.7272727272727273,1,0.8333333333333334,1,11,5,8,3,1,0,5,1,1,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","avro",0.6901408450704225,0.64,1,0.7142857142857143,0.5,49,22,16,9,6,0,5,2,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.6928571428571428,0.42592592592592593,0.7222222222222222,0.47368421052631576,0.5,194,86,23,31,13,5,9,10,1,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","child",0.7311178247734139,0.5254237288135594,0.6818181818181818,0.75,1,242,89,31,28,15,7,9,3,2,0,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer.springboot","springboot",0.7368421052631579,0.7272727272727273,1,0.8,1,14,5,8,3,2,0,4,1,2,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson","jackson",0.75,0.7142857142857143,1,0.5714285714285714,0.3333333333333333,21,7,10,4,3,0,4,3,1,2,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore","eventstore",0.7617021276595745,0.49612403100775193,0.8055555555555556,0.5263157894736842,0.4,716,224,64,65,29,7,10,9,2,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming","streaming",0.8,0.5,1,0.6666666666666666,0,16,4,4,4,4,0,4,2,0,1,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson2","jackson2",0.8076923076923077,0.8333333333333334,1,0.6666666666666666,0.5,21,5,10,2,3,0,4,2,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration.reflection","reflection",0.8181818181818182,0.6111111111111112,1,0.4,0.5,36,8,11,7,5,0,4,6,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","configuration",0.83399209486166,0.7391304347826086,0.8333333333333334,0.7916666666666666,0.5,422,84,51,18,30,6,19,5,1,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing","eventsourcing",0.8447488584474886,0.5625,0.7777777777777778,0.6923076923076923,1,185,34,18,14,14,4,9,4,3,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.correlation","correlation",0.845360824742268,0.55,0.9,0.5,0.5,82,15,11,9,9,1,4,4,1,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation","annotation",0.8482142857142857,0.71875,1,0.75,1,95,17,23,9,10,0,12,4,3,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing","sequencing",0.85,0.47058823529411764,1,0.6111111111111112,1,136,24,16,18,9,0,11,7,2,0,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","connector",0.8514851485148515,0.67,0.9444444444444444,0.6666666666666666,0.8,344,60,67,33,17,1,16,8,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay","replay",0.8529411764705882,0.6666666666666666,1,0.5714285714285714,1,29,5,10,5,3,0,4,3,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",0.8571428571428571,0.6923076923076923,1,0.8,0.5,24,4,9,4,4,0,8,2,1,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity","entity",0.8743169398907104,0.5833333333333334,0.8076923076923077,0.6428571428571429,0.6666666666666666,800,115,35,25,21,5,9,5,2,1,""
"axon-test-5.0.3","org.axonframework.test.util","util",0.8770053475935828,0.7142857142857143,1,0.8,1,164,23,25,10,12,0,8,2,2,0,""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension.tracing.opentelemetry","opentelemetry",0.8809523809523809,0.8666666666666667,1,0.8,1,37,5,13,2,5,0,4,1,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing","processing",0.8828828828828829,0.5652173913043478,0.8888888888888888,0.5,0.3333333333333333,98,13,13,10,8,1,7,7,1,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.retry","retry",0.8861386138613861,0.6129032258064516,0.9166666666666666,0.7142857142857143,1,179,23,19,12,11,1,5,2,1,0,""
"axon-test-5.0.3","org.axonframework.test.fixture","fixture",0.8895300906842539,0.7184466019417476,0.975,0.8888888888888888,1,1079,134,74,29,39,1,16,2,3,0,""
"axon-update-5.0.3","org.axonframework.update","update",0.9029126213592233,0.8518518518518519,1,0.8,0.5,93,10,23,4,7,0,8,2,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.gateway","gateway",0.9052132701421801,0.6875,0.9285714285714286,0.7272727272727273,1,191,20,22,10,13,1,8,3,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",0.9117647058823529,0.8461538461538461,1,0.75,1,31,3,11,2,3,0,6,2,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.distributed","distributed",0.9121813031161473,0.7272727272727273,0.9047619047619048,0.7142857142857143,0.3333333333333333,322,31,32,12,19,2,10,4,1,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","annotation",0.9176470588235294,0.7045454545454546,1,0.5,0.5,234,21,31,13,13,0,6,6,1,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","query",0.9186991869918699,0.8333333333333334,1,0.8461538461538461,1,226,20,40,8,12,0,11,2,2,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","autoconfig",0.9224806201550387,0.7777777777777778,1,0.9473684210526315,0.8571428571428571,714,60,112,32,39,0,36,2,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",0.9230769230769231,0.8181818181818182,1,0.8888888888888888,1,24,2,9,2,4,0,8,1,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.timeout","timeout",0.9238578680203046,0.71875,1,0.7272727272727273,0.5,182,15,23,9,13,0,8,3,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.tracing","tracing",0.9240506329113924,0.75,1,0.8333333333333334,1,73,6,12,4,7,0,5,1,1,0,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer","micrometer",0.9243027888446215,0.7142857142857143,1,0.8461538461538461,1,232,19,30,12,12,0,11,2,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0.9248554913294798,0.75,1,0.9166666666666666,1,160,13,24,8,8,0,11,1,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway","gateway",0.9256198347107438,0.7272727272727273,1,0.7,1,112,9,16,6,9,0,7,3,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.distributed","distributed",0.9310344827586207,0.7307692307692307,0.92,0.7142857142857143,0.3333333333333333,513,38,38,14,23,2,10,4,1,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","command",0.9411764705882353,0.8787878787878788,1,0.8461538461538461,1,128,8,29,4,7,0,11,2,2,0,""
"axon-modelling-5.0.3","org.axonframework.modelling.configuration","configuration",0.9420289855072463,0.7454545454545455,0.8787878787878788,0.8333333333333334,0.6666666666666666,585,36,41,14,29,4,10,2,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",0.9428571428571428,0.8571428571428571,1,0.8333333333333334,0.6666666666666666,99,6,18,3,6,0,10,2,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.annotation","annotation",0.9444444444444444,0.8333333333333334,1,0.8,1,17,1,5,1,3,0,4,1,1,0,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation","annotation",0.9480088495575221,0.75,0.8823529411764706,0.8260869565217391,0.75,857,47,63,21,30,4,19,4,3,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.configuration","configuration",0.9543478260869566,0.7073170731707317,0.9411764705882353,0.7142857142857143,0.5,439,21,29,12,16,1,10,4,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.tracing","tracing",0.9570552147239264,0.8181818181818182,1,0.875,1,156,7,18,4,12,0,7,1,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.tracing","tracing",0.9574468085106383,0.8181818181818182,1,0.8571428571428571,1,135,6,18,4,11,0,6,1,1,0,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation","annotation",0.9595015576323987,0.7872340425531915,1,0.7222222222222222,0.6666666666666666,308,13,37,10,20,0,13,5,2,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation.reflection","reflection",0.9611650485436893,0.8214285714285714,1,0.8461538461538461,1,198,8,23,5,10,0,11,2,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay.annotation","annotation",0.9629629629629629,0.8518518518518519,1,0.9,1,156,6,23,4,12,0,9,1,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.configuration","configuration",0.9636963696369637,0.7741935483870968,0.9444444444444444,0.6666666666666666,0.3333333333333333,292,11,24,7,17,1,8,4,1,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.configuration","configuration",0.9636963696369637,0.7741935483870968,0.9444444444444444,0.6666666666666666,0.3333333333333333,292,11,24,7,17,1,8,4,1,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception","interception",0.9650582362728786,0.676056338028169,1,0.6875,0.3333333333333333,1160,42,48,23,27,0,11,5,1,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.annotation","annotation",0.967741935483871,0.8,0.9565217391304348,0.7777777777777778,0.5,480,16,48,12,22,1,14,4,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0.967741935483871,0.875,1,0.8333333333333334,0,30,1,7,1,5,0,5,1,0,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.9706601466992665,0.8235294117647058,1,0.8,1,397,12,28,6,15,0,8,2,2,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation","annotation",0.9711111111111111,0.7818181818181819,0.9583333333333334,0.7222222222222222,0.5,437,13,43,12,23,1,13,5,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",0.9744020142677298,0.8421052631578947,0.9583333333333334,0.9090909090909091,1,2322,61,96,18,46,2,20,2,1,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.configuration","configuration",0.9755520504731862,0.8354430379746836,1,0.9615384615384616,1,1237,31,66,13,41,0,25,1,3,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.9803921568627451,0.8392857142857143,0.9354838709677419,0.8235294117647058,0.5,750,15,47,9,29,2,14,3,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.interception","interception",0.9819819819819819,0.7777777777777778,1,0.6666666666666666,1,218,4,14,4,10,0,6,3,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.interception","interception",0.9839679358717435,0.8666666666666667,1,0.75,1,491,8,26,4,16,0,6,2,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway","gateway",0.9855769230769231,0.8947368421052632,1,0.75,1,205,3,17,2,14,0,6,2,1,0,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","event",0.9861538461538462,0.8780487804878049,1,0.9,1,1282,18,72,10,29,0,18,2,3,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",0.9864649681528662,0.8714285714285714,1,0.8947368421052632,0.75,1239,17,61,9,27,0,17,2,3,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.annotation","annotation",0.9878640776699029,0.8648648648648649,0.9444444444444444,0.7857142857142857,1,407,5,32,5,17,1,11,3,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception","interception",0.9881188118811881,0.8620689655172413,1,0.8,1,499,6,25,4,16,0,8,2,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.interception","interception",0.9900990099009901,0.9375,1,0.8571428571428571,0,500,5,15,1,15,0,6,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration","configuration",0.9985174203113417,0.9518072289156626,1,0.8787878787878788,0.5,2694,4,79,4,41,0,29,4,2,2,""
