"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-eventsourcing-5.1.2",,,false,,,1,26,10,26,4,1,4,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/handler,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/eventstore/inmemory","axon-eventsourcing-5.1.2 -> axon-eventsourcing-5.1.2","",""
"axon-eventsourcing-5.1.2",,,true,,,1,26,10,26,6,2,6,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/entity/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/eventhandling/configuration","axon-eventsourcing-5.1.2 -> axon-modelling-5.1.2,axon-eventsourcing-5.1.2 -> axon-messaging-5.1.2,axon-eventsourcing-5.1.2 -> axon-common-5.1.2","",""
"axon-eventsourcing-5.1.2",,,true,,,2,18,5,18,5,1,5,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/entity,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/repository,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/commandhandling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/queryhandling/configuration","axon-eventsourcing-5.1.2 -> axon-modelling-5.1.2,axon-eventsourcing-5.1.2 -> axon-messaging-5.1.2","",""
"axon-messaging-5.1.2",,,false,,,1,26,10,26,4,4,4,"/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/messaging/eventhandling/replay,/org/axonframework/messaging/commandhandling/retry -> /org/axonframework/messaging/core/retry,/org/axonframework/messaging/core/reflection -> /org/axonframework/messaging/core/configuration/reflection,/org/axonframework/messaging/eventhandling/tracing -> /org/axonframework/messaging/tracing","axon-messaging-5.1.2 -> axon-messaging-5.1.2","",""
"axon-metrics-micrometer-5.1.2",,,false,,,1,26,10,26,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer","axon-metrics-micrometer-5.1.2 -> axon-metrics-micrometer-5.1.2","",""
"axon-metrics-micrometer-5.1.2",,,false,,,2,18,5,18,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer/reservoir","axon-metrics-micrometer-5.1.2 -> axon-metrics-micrometer-5.1.2","",""
"axon-metrics-micrometer-5.1.2",,,true,,,2,18,5,18,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/messaging/monitoring/configuration","axon-metrics-micrometer-5.1.2 -> axon-messaging-5.1.2","",""
"axon-test-5.1.2",,,false,,,1,26,10,26,1,1,1,"/org/axonframework/test/extension -> /org/axonframework/test/fixture","axon-test-5.1.2 -> axon-test-5.1.2","",""
"axon-test-5.1.2",,,false,,,2,18,5,18,2,1,2,"/org/axonframework/test/extension -> /org/axonframework/test/util,/org/axonframework/test/extension -> /org/axonframework/test/matchers","axon-test-5.1.2 -> axon-test-5.1.2","",""
"axon-test-5.1.2",,,false,,,3,21,2,21,1,1,1,"/org/axonframework/test/extension -> /org/axonframework/test","axon-test-5.1.2 -> axon-test-5.1.2","",""
"axon-test-5.1.2",,,true,,,3,21,2,21,1,1,1,"/org/axonframework/test/extension -> /org/axonframework/messaging/monitoring","axon-test-5.1.2 -> axon-messaging-5.1.2","",""
"axon-test-5.1.2",,,true,,,4,9,2,9,2,1,2,"/org/axonframework/test/extension -> /org/axonframework/messaging/core/annotation,/org/axonframework/test/extension -> /org/axonframework/messaging/core/unitofwork","axon-test-5.1.2 -> axon-messaging-5.1.2","",""
"axon-update-5.1.2",,,false,,,1,26,10,26,3,1,3,"/org/axonframework/update -> /org/axonframework/update/detection,/org/axonframework/update -> /org/axonframework/update/common,/org/axonframework/update -> /org/axonframework/update/configuration","axon-update-5.1.2 -> axon-update-5.1.2","",""
"axon-update-5.1.2",,,false,,,2,18,5,18,1,1,1,"/org/axonframework/update -> /org/axonframework/update/api","axon-update-5.1.2 -> axon-update-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,false,,,1,26,10,26,3,1,3,"/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/service/connection,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/actuator/axonserver","axoniq-spring-boot-autoconfigure-5.1.2 -> axoniq-spring-boot-autoconfigure-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,false,,,2,18,5,18,1,1,1,"/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/actuator","axoniq-spring-boot-autoconfigure-5.1.2 -> axoniq-spring-boot-autoconfigure-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,true,,,1,26,10,26,4,1,4,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/eventhandling/processing/streaming/pooled,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/core/unitofwork/transaction/jdbc,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/core/unitofwork/transaction/jpa,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/configuration","axoniq-spring-boot-autoconfigure-5.1.2 -> axon-messaging-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-server-connector-5.1.2","",""
