"artifactName","fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","numberAbstractClasses","weightedAbstractTypes","numberOfIncludedSubPackages","maxSubpackageDepth","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Abstractness_for_Java_including_Subpackages.cypher"
"axon-common-5.0.3","org.axonframework.common.annotation","annotation",0.5,2,4,0,2,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.conversion","conversion",0.5,1,2,0,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway","gateway",0.5,1,2,0,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion","conversion",0.5,1,2,0,1,0,0,""
"axon-modelling-5.0.3","org.axonframework.modelling.configuration","configuration",0.5384615384615384,7,13,0,7,0,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation","annotation",0.5625,9,16,0,9,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.annotation","annotation",0.5714285714285714,4,7,0,4,0,0,""
"axon-modelling-5.0.3","org.axonframework.modelling.repository","repository",0.625,5,8,0,5,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","configuration",0.7142857142857143,10,14,0,10,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.configuration","configuration",0.75,3,4,0,3,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.configuration","configuration",0.75,3,4,0,3,0,0,""
"axon-common-5.0.3","org.axonframework.common.function","function",1,2,2,0,2,0,0,""
"axon-common-5.0.3","org.axonframework.common.tx","tx",1,1,1,0,1,0,0,""
