"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","command",99,332,24,6,13,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",99,703,18,6,10,2,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation","annotation",95,176,23,10,12,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.correlation","correlation",82,150,11,9,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.tracing","tracing",73,342,12,7,5,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.tracing","tracing",68,281,17,8,5,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.repository","repository",56,249,12,8,5,2,""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","avro",49,242,16,6,5,1,""
"axon-test-5.1.1","org.axonframework.test.matchers","matchers",47,91,24,4,6,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.reflection","reflection",44,80,7,4,3,1,""
"axon-common-5.1.1","org.axonframework.common.caching","caching",43,129,13,3,2,0,""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","opentelemetry",37,152,13,5,4,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.configuration.reflection","reflection",36,90,11,5,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.conversion","conversion",35,101,7,5,6,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction","transaction",32,74,10,6,4,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.shared","shared",31,138,25,0,11,4,""
"axon-common-5.1.1","org.axonframework.common","common",31,68,17,0,1,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",31,202,11,3,6,1,""
"axon-conversion-5.1.1","org.axonframework.conversion","conversion",30,109,12,5,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",30,68,7,5,5,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.tracing.attributes","attributes",28,38,4,2,2,0,""
"axon-common-5.1.1","org.axonframework.common.infra","infra",27,107,10,3,3,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",24,48,9,4,8,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","api",23,142,16,0,3,1,""
"axon-common-5.1.1","org.axonframework.common.jdbc","jdbc",22,55,11,5,5,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.monitoring","monitoring",22,52,8,4,4,1,""
"axon-common-5.1.1","org.axonframework.common.lock","lock",21,79,11,2,2,0,""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","jackson",21,62,10,3,4,1,""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson2","jackson2",21,62,10,3,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.conversion","conversion",21,59,5,4,5,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token","token",19,210,9,4,4,2,""
"axon-update-5.1.1","org.axonframework.update.configuration","configuration",19,36,8,2,2,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.annotation","annotation",17,29,5,3,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming","streaming",16,44,4,4,4,0,""
"axon-common-5.1.1","org.axonframework.common.property","property",15,27,8,1,2,0,""
"axon-common-5.1.1","org.axonframework.common.jpa","jpa",14,20,5,3,5,0,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","util",13,54,9,0,2,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.api","api",13,32,6,3,3,1,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.springboot","springboot",13,28,7,2,3,1,""
"axon-test-5.1.1","org.axonframework.test","test",13,20,7,3,4,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","snapshot",12,80,6,2,5,2,""
"axon-test-5.1.1","org.axonframework.test.extension","extension",11,57,8,1,5,1,""
