"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-tracing-opentelemetry-5.1.2",,,true,,,3,976,100,65,10,1,10,"/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/common/util,/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/common/infra,/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/common/lifecycle,/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/messaging/commandhandling/annotation","axon-tracing-opentelemetry-5.1.2 -> axon-common-5.1.2,axon-tracing-opentelemetry-5.1.2 -> axon-messaging-5.1.2","",""
"axon-tracing-opentelemetry-5.1.2",,,true,,,4,597,94,49,11,1,11,"/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/common/io,/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/common/property,/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/common/tx,/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/messaging/commandhandling","axon-tracing-opentelemetry-5.1.2 -> axon-common-5.1.2,axon-tracing-opentelemetry-5.1.2 -> axon-messaging-5.1.2","",""
"axon-tracing-opentelemetry-5.1.2",,,true,,,5,90,35,22,1,1,1,"/org/axonframework/extension/tracing/opentelemetry -> /org/axonframework/common/function","axon-tracing-opentelemetry-5.1.2 -> axon-common-5.1.2","",""
"axon-update-5.1.2",,,false,,,1,777,118,98,5,2,4,"/org/axonframework/update -> /org/axonframework/update/detection,/org/axonframework/update -> /org/axonframework/update/common,/org/axonframework/update -> /org/axonframework/update/api,/org/axonframework/update/detection -> /org/axonframework/update/api","axon-update-5.1.2 -> axon-update-5.1.2","",""
"axon-update-5.1.2",,,true,,,1,777,118,98,7,5,3,"/org/axonframework/update -> /org/axonframework/common,/org/axonframework/update -> /org/axonframework/common/annotation,/org/axonframework/update/detection -> /org/axonframework/common/annotation,/org/axonframework/update/common -> /org/axonframework/common/annotation","axon-update-5.1.2 -> axon-common-5.1.2","",""
"axon-update-5.1.2",,,true,,,2,990,108,80,6,5,3,"/org/axonframework/update/detection -> /org/axonframework/common,/org/axonframework/update/common -> /org/axonframework/common,/org/axonframework/update/api -> /org/axonframework/common,/org/axonframework/update/configuration -> /org/axonframework/common","axon-update-5.1.2 -> axon-common-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,false,,,1,777,118,98,4,2,4,"/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/service/connection,/io/axoniq/framework/springboot/actuator/axonserver -> /io/axoniq/framework/springboot/actuator,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/actuator/axonserver","axoniq-spring-boot-autoconfigure-5.1.2 -> axoniq-spring-boot-autoconfigure-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,false,,,2,990,108,80,1,1,1,"/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/actuator","axoniq-spring-boot-autoconfigure-5.1.2 -> axoniq-spring-boot-autoconfigure-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,true,,,1,777,118,98,10,3,8,"/io/axoniq/framework/springboot -> /io/axoniq/framework/axonserver/connector/api,/io/axoniq/framework/springboot/actuator/axonserver -> /io/axoniq/framework/axonserver/connector/api,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/api,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/configuration","axoniq-spring-boot-autoconfigure-5.1.2 -> axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-common-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-conversion-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-messaging-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,true,,,2,990,108,80,36,3,32,"/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/snapshot,/io/axoniq/framework/springboot -> /io/axoniq/framework/axonserver/connector/util,/io/axoniq/framework/springboot/actuator/axonserver -> /io/axoniq/framework/axonserver/connector/util,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/util","axoniq-spring-boot-autoconfigure-5.1.2 -> axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-common-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-eventsourcing-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-messaging-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,true,,,3,976,100,65,16,3,14,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/modelling/entity,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/shared,/io/axoniq/framework/springboot -> /org/axonframework/common/util,/io/axoniq/framework/springboot/actuator/axonserver -> /org/axonframework/common/util","axoniq-spring-boot-autoconfigure-5.1.2 -> axon-modelling-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-common-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-eventsourcing-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,true,,,4,597,94,49,27,3,25,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/modelling,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/modelling/annotation,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/modelling/entity/annotation,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/modelling/entity/child","axoniq-spring-boot-autoconfigure-5.1.2 -> axon-modelling-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-common-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2 -> axon-eventsourcing-5.1.2","",""
"axoniq-spring-boot-autoconfigure-5.1.2",,,true,,,5,90,35,22,1,1,1,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/eventsourcing/handler","axoniq-spring-boot-autoconfigure-5.1.2 -> axon-eventsourcing-5.1.2","",""
