"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-conversion-5.1.2","ObjectNodeToJsonNodeConverter","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,0.8701458257511492,1,""
"axon-common-5.1.2","Assert","org.axonframework.common.Assert",1,0.8648723037149424,2,""
"axon-common-5.1.2","ComponentDecorator","org.axonframework.common.configuration.ComponentDecorator",1,0.860299675236716,3,""
"axon-common-5.1.2","EhCacheAdapter$1","org.axonframework.common.caching.EhCacheAdapter$1",1,0.8591470702905425,4,""
"axon-modelling-5.1.2","FieldChildEntityFieldDefinition","org.axonframework.modelling.entity.child.FieldChildEntityFieldDefinition",1,0.7647792504052255,5,""
"axon-messaging-5.1.2","TokenEntry$PK","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry$PK",1,0.7557251110902294,6,""
"axon-messaging-5.1.2","DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition","org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition",1,0.7515423363679246,7,""
"axon-common-5.1.2","MavenArtifactVersionResolver","org.axonframework.common.util.MavenArtifactVersionResolver",1,0.7280061896957799,8,""
"axon-server-connector-5.1.2","AggregateBasedAxonServerEventStorageEngine$1","io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$1",1,0.6757255881701675,9,""
"axon-eventsourcing-5.1.2","DefaultSourcingCondition","org.axonframework.eventsourcing.eventstore.DefaultSourcingCondition",1,0.6694986388030619,10,""
