"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration","configuration",2694,16653,79,41,29,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",2322,9835,96,46,20,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","event",1282,4029,72,29,18,3,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",1239,4839,61,27,17,3,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.configuration","configuration",1237,4808,66,41,25,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception","interception",1160,6002,48,27,11,1,""
"axon-test-5.0.3","org.axonframework.test.fixture","fixture",1079,3869,74,39,16,3,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation","annotation",857,3255,63,30,19,3,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity","entity",800,2887,35,21,9,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",750,2762,47,29,14,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore","eventstore",716,2684,64,29,10,2,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","autoconfig",714,2921,112,39,36,6,""
"axon-modelling-5.0.3","org.axonframework.modelling.configuration","configuration",585,2279,41,29,10,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling","queryhandling",533,2104,48,23,9,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.distributed","distributed",513,1412,38,23,10,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.interception","interception",500,1550,15,15,6,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception","interception",499,1240,25,16,8,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.interception","interception",491,1561,26,16,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.annotation","annotation",480,1539,48,22,14,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling","eventhandling",471,1201,42,20,8,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","annotation",467,1551,76,17,11,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.configuration","configuration",439,1828,29,16,10,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation","annotation",437,1037,43,23,13,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","configuration",422,1165,51,30,19,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.annotation","annotation",407,1067,32,17,11,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",397,1192,28,15,8,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","connector",344,2299,67,17,16,4,""
"axon-messaging-5.0.3","org.axonframework.messaging.core","core",341,1199,80,17,8,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.distributed","distributed",322,765,32,19,10,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation","annotation",308,734,37,20,13,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling","commandhandling",297,873,35,19,6,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.configuration","configuration",292,959,24,17,8,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.configuration","configuration",292,959,24,17,8,1,""
"axon-common-5.0.3","org.axonframework.common.configuration","configuration",283,1002,52,21,5,0,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","child",242,555,31,15,9,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","annotation",234,716,31,13,6,1,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer","micrometer",232,1019,30,12,11,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","query",226,747,40,12,11,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.interception","interception",218,519,14,10,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway","gateway",205,1031,17,14,6,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation.reflection","reflection",198,732,23,10,11,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",194,606,23,13,9,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.gateway","gateway",191,643,22,13,8,2,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing","eventsourcing",185,954,18,14,9,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.timeout","timeout",182,463,23,13,8,1,""
"axon-modelling-5.0.3","org.axonframework.modelling","modelling",182,575,30,17,10,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.retry","retry",179,396,19,11,5,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.retry","retry",168,492,14,12,6,1,""
"axon-test-5.0.3","org.axonframework.test.util","util",164,499,25,12,8,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",160,1430,24,8,11,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.tracing","tracing",156,426,18,12,7,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay.annotation","annotation",156,273,23,12,9,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing","sequencing",136,245,16,9,11,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.tracing","tracing",135,441,18,11,6,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","command",128,371,29,7,11,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway","gateway",112,345,16,9,7,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","unitofwork",108,621,21,9,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventstreaming","eventstreaming",105,256,25,12,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",99,703,18,6,10,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing","processing",98,395,13,8,7,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation","annotation",95,176,23,10,12,3,""
"axon-update-5.0.3","org.axonframework.update","update",93,375,23,7,8,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.correlation","correlation",82,150,11,9,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.tracing","tracing",73,342,12,7,5,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.tracing","tracing",68,281,17,8,5,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.repository","repository",56,249,12,8,5,2,""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","avro",49,242,16,6,5,1,""
"axon-test-5.0.3","org.axonframework.test.matchers","matchers",47,91,24,4,6,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.reflection","reflection",44,80,7,4,3,1,""
"axon-common-5.0.3","org.axonframework.common.caching","caching",43,129,13,3,2,0,""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension.tracing.opentelemetry","opentelemetry",37,152,13,5,4,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration.reflection","reflection",36,90,11,5,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.conversion","conversion",35,101,7,5,6,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction","transaction",32,74,10,6,4,1,""
"axon-common-5.0.3","org.axonframework.common","common",31,68,17,0,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",31,202,11,3,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",30,68,7,5,5,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay","replay",29,100,10,3,4,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.tracing.attributes","attributes",28,38,4,2,2,0,""
"axon-common-5.0.3","org.axonframework.common.infra","infra",27,107,10,3,3,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot","springboot",24,132,17,1,5,4,""
