"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","node",88,138,4,132,26,3300,"ResolvedServerOptions.middlewareMode,ResolvedConfig.mode,createServer,RunnableDevEnvironment.runner,UserConfig.build,isRunnableDevEnvironment,ViteDevServer.ssrFixStacktrace,ManifestChunk.file,ViteDevServer.ssrLoadModule,UserConfig.environments,EnvironmentOptions,DevEnvironment.name,ManifestChunk.assets,PreviewServer,Environment.config,EnvironmentOptions.optimizeDeps,ModuleNode.file,PluginContainer.buildStart,defaultClientConditions,UserConfig.server,createLogger,ResolvedConfig,normalizePath,ResolvedConfig.configFile,DevEnvironment.reloadModule,Environment.name,ViteDevServer,HotBroadcaster.send,UserConfig.base,ViteDevServer.config,ModuleNode.url,Logger.error,ResolvedBuildOptions.assetsDir,UserConfig.logLevel,ResolvedConfig.logger,ResolvedConfig.build,HotUpdatePluginContext.environment,ResolvedConfig.command,ViteDevServer.transformRequest,UserConfig.root,DevEnvironment.moduleGraph,ResolvedConfig.server,ConfigEnv.isSsrBuild,ViteBuilder.build,Connect.IncomingMessage.url,ViteBuilder.environments,ConfigEnv.mode,Connect.Server.use,ManifestChunk.css,Logger.info,ViteDevServer.environments,ConfigEnv.command,ViteDevServer.hot,PreviewServer.middlewares,UserConfig.plugins,Plugin,Plugin.name,ViteDevServer.middlewares,EnvironmentOptions.resolve,loadConfigFromFile,ViteDevServer.pluginContainer,ResolvedBuildEnvironmentOptions.outDir,PluginOption,DevEnvironment.pluginContainer,EnvironmentPluginContainer.transform,EnvironmentModuleNode.id,EnvironmentModuleGraph.getModulesByFile,isCSSRequest,ResolvedEnvironmentOptions.build,EnvironmentModuleNode.file,ResolvedConfig.base,ResolvedConfig.environments,BuildEnvironmentOptions.rollupOptions,node",""
"vite","rollup",8,13,4,132,26,3300,"ResolvedId.id,PluginContext.environment,PluginContext.resolve,RollupLog.code,RollupLog.pos,TransformPluginContext.environment,RollupLog.message,RollupOptions.onwarn",""
"vite","promises",7,14,4,132,26,3300,"rm,rename,readdir,readFile,cp,mkdir",""
"vite","@types/babel__core",6,6,4,132,26,3300,"BabelFileResult.code,transformAsync,BabelFileResult.map",""
"vite","@types/path",6,21,4,132,26,3300,"path.PlatformPath.join,path.PlatformPath.posix,path.PlatformPath.dirname,path.PlatformPath.resolve,path.PlatformPath.basename,path.PlatformPath.relative",""
"vite","dist",6,10,4,132,26,3300,"join,dist,resolve,path.normalize,relative,path.dirname",""
"vite","@types/process",5,7,4,132,26,3300,"global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Process.env,global.NodeJS.Process.cwd",""
"vite","fs",3,6,4,132,26,3300,"Dirent.name,Dirent.isFile,Dirent.path",""
"vite","node:fs",3,4,4,132,26,3300,"existsSync,rmSync,readdirSync",""
"vite","@types/babel__generator",2,2,4,132,26,3300,"GeneratorResult.code,GeneratorResult",""
"vite","@types/globals",2,4,4,132,26,3300,"global.NodeRequire.resolve",""
"vite","crypto",2,2,4,132,26,3300,"Hash.update,Hash.digest",""
"vite","http",2,2,4,132,26,3300,"ServerResponse.setHeader,ServerResponse.end",""
"vite","lexer",2,2,4,132,26,3300,"init",""
"vite","picocolors",2,9,4,132,26,3300,"picocolors",""
"vite","@remix-run/dist",1,2,4,132,26,3300,"sendResponse",""
"vite","@types/buffer",1,1,4,132,26,3300,"global.Buffer.toString",""
"vite","@types/jsesc",1,2,4,132,26,3300,"jsesc",""
"vite","@types/pick",1,1,4,132,26,3300,"pick",""
"vite","module-runner",1,1,4,132,26,3300,"ModuleRunner.import",""
"vite","node:crypto",1,1,4,132,26,3300,"createHash",""
"vite","node:url",1,1,4,132,26,3300,".pathToFileURL",""
"vite","url",1,1,4,132,26,3300,"URL.href",""
"remove-exports","@babel/lib",16,56,1,23,4,2300,"MemberExpression.object,ExpressionStatement.expression,ExportSpecifier.local,ExportDeclaration.type,Identifier.name,FunctionDeclaration.id,VariableDeclaration.declarations,Expression.type,ExportSpecifier.exported,ExportNamedDeclaration.declaration,ClassDeclaration.id,ExportNamedDeclaration.specifiers,ExportDefaultDeclaration.declaration,LVal.type,VariableDeclarator.id,AssignmentExpression.left",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.node,NodePath.remove,NodePath.parentPath,NodePath.isProgram",""
"remove-exports","dist",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"with-props","@types/babel__traverse",11,23,1,21,4,2100,"NodePath.replaceWith,NodePath.node,NodePath.get,NodePath.isFunctionDeclaration,NodePath.isExportDefaultDeclaration,NodePath.isIdentifier,NodePath.scope,NodePath.isVariableDeclaration,NodePath.isExpression,NodePath.isExportNamedDeclaration,Scope.generateUidIdentifier",""
"with-props","@babel/lib",8,11,1,21,4,2100,"importSpecifier,callExpression,importDeclaration,Program.body,variableDeclaration,identifier,stringLiteral,variableDeclarator",""
"with-props","@babel/babel-parser",2,3,1,21,4,2100,"ParseResult,ParseResult.program",""
"cloudflare","node",13,18,1,16,4,1600,"EnvironmentResolveOptions.externalConditions,ViteDevServer.middlewares,Plugin.name,ResolvedConfig.plugins,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use,Plugin,ResolvedServerOptions.middlewareMode,ResolvedConfig.server,ConfigEnv.mode,UserConfig.root,ViteDevServer.ssrLoadModule",""
"cloudflare","@remix-run/dist",1,1,1,16,4,1600,"sendResponse",""
"cloudflare","@types/process",1,1,1,16,4,1600,"global.NodeJS.Process.cwd",""
"cloudflare","cli",1,2,1,16,4,1600,"GetPlatformProxyOptions",""
"cloudflare-dev-proxy","node",13,18,1,16,4,1600,"EnvironmentResolveOptions.externalConditions,ViteDevServer.middlewares,Plugin.name,ResolvedConfig.plugins,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use,Plugin,ResolvedServerOptions.middlewareMode,ResolvedConfig.server,ConfigEnv.mode,UserConfig.root,ViteDevServer.ssrLoadModule",""
"cloudflare-dev-proxy","@remix-run/dist",1,1,1,16,4,1600,"sendResponse",""
"cloudflare-dev-proxy","@types/process",1,1,1,16,4,1600,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","cli",1,2,1,16,4,1600,"GetPlatformProxyOptions",""
"warn-on-client-source-maps","node",11,12,1,12,2,1200,"Plugin,ResolvedConfig.mode,ResolvedConfig.build,ResolvedConfig.environments,ResolvedBuildEnvironmentOptions.sourcemap,ConfigEnv.command,Logger.warn,ResolvedBuildOptions.ssr,ResolvedConfig.logger,ResolvedBuildOptions.sourcemap,ResolvedEnvironmentOptions.build",""
"warn-on-client-source-maps","picocolors",1,2,1,12,2,1200,"picocolors",""
"run","@types/process",2,4,1,8,5,800,"global.NodeJS.ProcessVersions.node,global.NodeJS.Process.versions",""
"run","@types/semver",2,2,1,8,5,800,"major,semver",""
"run","arg",2,3,1,8,5,800,"arg,arg.Result._",""
"run","@types/globals",1,1,1,8,5,800,"global.NodeRequire.main",""
"run","arg.Result.""--no-typescript",1,1,1,8,5,800,"arg.Result.""--no-typescript""",""
