"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"no namespace",52,93,586,1149,137,627,"<relative> of module <routes> imports <resolve> from external namespace <>,<relative> of module <routes> imports <resolve> from external namespace <>,<reactRouterVitePlugin> of module <vite> imports <ResolvedId.id> from external namespace <>,<reactRouterVitePlugin> of module <vite> imports <PluginContext.environment> from external namespace <>",""
"@types",49,92,350,729,137,627,"<index> of module <routes> imports <pick> from external namespace <@types>,<index> of module <routes> imports <pick> from external namespace <@types>,<layout> of module <routes> imports <pick> from external namespace <@types>,<layout> of module <routes> imports <pick> from external namespace <@types>",""
"@babel",5,6,67,147,137,627,"<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <MemberExpression.object> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <ExpressionStatement.expression> from external namespace <@babel>",""
"@remix-run",5,3,5,7,137,627,"<reactRouterVitePlugin> of module <vite> imports <sendResponse> from external namespace <@remix-run>,<reactRouterVitePlugin> of module <plugin> imports <sendResponse> from external namespace <@remix-run>,<cloudflareDevProxyVitePlugin> of module <cloudflare> imports <sendResponse> from external namespace <@remix-run>,<cloudflareDevProxyVitePlugin> of module <cloudflare-dev-proxy> imports <sendResponse> from external namespace <@remix-run>",""
"@cloudflare",3,5,52,68,137,627,"<GetLoadContextFunction> of module <react-router-cloudflare> imports <CacheStorage> from external namespace <@cloudflare>,<GetLoadContextFunction> of module <react-router-cloudflare> imports <Request> from external namespace <@cloudflare>,<GetLoadContextFunction> of module <react-router-cloudflare> imports <EventContext> from external namespace <@cloudflare>,<GetLoadContextFunction> of module <react-router-cloudflare> imports <CfProperties> from external namespace <@cloudflare>",""
"@architect",2,1,10,14,137,627,"<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.delete> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.get> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <functions> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.put> from external namespace <@architect>",""
"@mjackson",2,2,4,20,137,627,"<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external namespace <@mjackson>,<RequestListenerOptions> of module <server> imports <ClientAddress> from external namespace <@mjackson>,<createRequestListener> of module <server> imports <createRequestListener> from external namespace <@mjackson>,<createRequestListener> of module <react-router-node> imports <createRequestListener> from external namespace <@mjackson>",""
