"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Typescript_modules.cypher"
"react-router-7.18.4","dom-export",7,0,19,0,""
"react-router-7.18.4","react-router",5,0,9,4,""
"react-router-7.18.4","react-router",40,0,109,4,""
"react-router-7.18.4","react-router",170,0,377,13,""
"react-router-7.18.4","actions",1,0,3,0,""
"react-router-7.18.4","context",19,0,12,10,""
"react-router-7.18.4","errors",4,0,2,0,""
"react-router-7.18.4","href",1,0,2,0,""
"react-router-7.18.4","dom",14,0,6,0,""
"react-router-7.18.4","global",2,0,0,0,""
"react-router-7.18.4","data",1,0,0,0,""
"react-router-7.18.4","entry",5,0,13,0,""
"react-router-7.18.4","fog-of-war",8,0,6,5,""
"react-router-7.18.4","invariant",1,0,0,0,""
"react-router-7.18.4","links",8,0,0,9,""
"react-router-7.18.4","markup",2,0,1,0,""
"react-router-7.18.4","routeModules",21,0,27,6,""
"react-router-7.18.4","history",25,0,40,0,""
"react-router-7.18.4","instrumentation",9,0,14,0,""
"react-router-7.18.4","links",3,0,6,0,""
"react-router-7.18.4","navigation",3,0,1,0,""
"react-router-7.18.4","router",35,0,53,1,""
"react-router-7.18.4","url",3,0,6,0,""
"react-router-7.18.4","utils",91,0,182,3,""
"react-router-7.18.4","route-modules",2,0,0,0,""
"react-router-7.18.4","server",23,0,40,17,""
"react-router-7.18.4","browser",1,0,1,0,""
"react-router-7.18.4","server",1,0,0,0,""
"react-router-7.18.4","build",5,0,11,0,""
"react-router-7.18.4","cookies",6,0,19,6,""
"react-router-7.18.4","crypto",2,0,2,0,""
"react-router-7.18.4","data",2,0,7,0,""
"react-router-7.18.4","dev",3,0,4,3,""
"react-router-7.18.4","entry",1,0,1,0,""
"react-router-7.18.4","errors",5,0,4,0,""
"react-router-7.18.4","headers",2,0,3,1,""
"react-router-7.18.4","invariant",1,0,0,0,""
"react-router-7.18.4","mode",2,0,5,0,""
"react-router-7.18.4","routeMatching",2,0,2,0,""
"react-router-7.18.4","routes",3,0,4,9,""
"react-router-7.18.4","server",3,0,4,0,""
"react-router-7.18.4","serverHandoff",2,0,2,0,""
"react-router-7.18.4","sessions",11,0,3,11,""
"react-router-7.18.4","single-fetch",8,0,5,4,""
"react-router-7.18.4","urls",1,0,3,0,""
"react-router-7.18.4","warnings",1,0,2,0,""
"react-router-7.18.4","cookieStorage",1,0,2,2,""
"react-router-7.18.4","memoryStorage",1,0,2,1,""
"react-router-7.18.4","future",2,0,3,0,""
"react-router-7.18.4","internal",2,0,0,0,""
"react-router-7.18.4","params",1,0,0,0,""
"react-router-7.18.4","register",4,0,1,0,""
"react-router-7.18.4","route-data",7,0,6,0,""
"react-router-7.18.4","route-module-annotations",1,0,1,0,""
"react-router-7.18.4","route-module",1,0,3,0,""
"react-router-7.18.4","serializes-to",1,0,1,0,""
"react-router-7.18.4","utils",6,0,1,0,""
"react-router-7.18.4","flatten",1,0,1,0,""
"react-router-7.18.4","turbo-stream",2,0,1,0,""
"react-router-7.18.4","unflatten",1,0,1,0,""
"react-router-7.18.4","utils",24,0,46,0,""
"react-router-7.18.4","defineRoutes",3,0,2,0,""
"react-router-7.18.4","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.18.4","manifest",3,0,4,0,""
"react-router-7.18.4","normalizeSlashes",1,0,1,3,""
"react-router-7.18.4","react-router-express",3,0,3,0,""
"react-router-7.18.4","server",6,0,3,22,""
"react-router-7.18.4","flatRoutes",13,0,1,15,""
"react-router-7.18.4","react-router-fs-routes",1,0,0,5,""
"react-router-7.18.4","manifest",3,0,3,0,""
"react-router-7.18.4","normalizeSlashes",1,0,2,3,""
"react-router-7.18.4","copy-template",2,0,2,33,""
"react-router-7.18.4","create-react-router",2,0,0,28,""
"react-router-7.18.4","loading-indicator",1,0,1,12,""
"react-router-7.18.4","prompt",1,0,1,2,""
"react-router-7.18.4","prompts-confirm",3,0,1,5,""
"react-router-7.18.4","prompts-multi-select",2,0,1,5,""
"react-router-7.18.4","prompts-prompt-base",2,0,8,14,""
"react-router-7.18.4","prompts-select",3,0,3,6,""
"react-router-7.18.4","prompts-text",2,0,1,8,""
"react-router-7.18.4","utils",28,0,36,28,""
"react-router-7.18.4","config",4,0,5,0,""
"react-router-7.18.4","invariant",1,0,0,0,""
"react-router-7.18.4","manifest",2,0,2,0,""
"react-router-7.18.4","routes",8,0,9,0,""
"react-router-7.18.4","vite",2,0,0,0,""
"react-router-7.18.4","commands",5,0,5,16,""
"react-router-7.18.4","detectPackageManager",1,0,1,1,""
"react-router-7.18.4","run",1,0,0,9,""
"react-router-7.18.4","useJavascript",1,0,1,6,""
"react-router-7.18.4","config",14,0,17,40,""
"react-router-7.18.4","format",4,0,1,0,""
"react-router-7.18.4","is-react-router-repo",1,0,2,5,""
"react-router-7.18.4","routes",15,0,25,28,""
"react-router-7.18.4","context",2,0,3,0,""
"react-router-7.18.4","generate",5,0,5,24,""
"react-router-7.18.4","typegen",3,0,5,10,""
"react-router-7.18.4","params",1,0,1,0,""
"react-router-7.18.4","route",2,0,2,0,""
"react-router-7.18.4","babel",2,0,8,1,""
"react-router-7.18.4","build",2,0,1,8,""
"react-router-7.18.4","cache",2,0,4,0,""
"react-router-7.18.4","cloudflare-dev-proxy",1,0,1,15,""
"react-router-7.18.4","cloudflare",1,0,0,0,""
"react-router-7.18.4","combine-urls",1,0,1,0,""
"react-router-7.18.4","dev",2,0,1,11,""
"react-router-7.18.4","has-dependency",1,0,2,1,""
"react-router-7.18.4","has-rsc-plugin",1,0,2,3,""
"react-router-7.18.4","load-dotenv",1,0,2,4,""
"react-router-7.18.4","node-adapter",2,0,2,5,""
"react-router-7.18.4","optimize-deps-entries",1,0,2,3,""
"react-router-7.18.4","plugin",17,0,10,151,""
"react-router-7.18.4","profiler",3,0,5,9,""
"react-router-7.18.4","remove-exports",1,0,2,30,""
"react-router-7.18.4","resolve-file-url",1,0,2,5,""
"react-router-7.18.4","resolve-relative-route-file-path",1,0,3,3,""
"react-router-7.18.4","route-chunks",13,0,10,310,""
"react-router-7.18.4","ssr-externals",1,0,2,0,""
"react-router-7.18.4","styles",4,0,3,22,""
"react-router-7.18.4","virtual-module",1,0,2,0,""
"react-router-7.18.4","vite-node",2,0,2,13,""
"react-router-7.18.4","vite",4,0,21,7,""
"react-router-7.18.4","with-props",1,0,1,29,""
"react-router-7.18.4","prerender",6,0,3,17,""
"react-router-7.18.4","validate-plugin-order",1,0,2,3,""
"react-router-7.18.4","warn-on-client-source-maps",1,0,2,12,""
"react-router-7.18.4","plugin",1,0,1,42,""
"react-router-7.18.4","virtual-route-config",1,0,1,4,""
"react-router-7.18.4","virtual-route-modules",4,0,2,4,""
"react-router-7.18.4","binaryTypes",1,0,1,0,""
"react-router-7.18.4","react-router-architect",4,0,3,0,""
"react-router-7.18.4","server",6,0,3,23,""
"react-router-7.18.4","arcTableSessionStorage",1,0,1,6,""
"react-router-7.18.4","react-router-cloudflare",6,0,5,0,""
"react-router-7.18.4","worker",5,0,5,18,""
"react-router-7.18.4","workersKVStorage",1,0,1,5,""
"react-router-7.18.4","react-router-node",7,0,0,0,""
"react-router-7.18.4","server",2,0,2,3,""
"react-router-7.18.4","stream",4,0,4,16,""
"react-router-7.18.4","fileStorage",2,0,1,9,""
