"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","no namespace",129,229,4,133,25,3325,"EnvironmentModuleNode.file,RollupOptions.onwarn,RollupLog.message,PluginOption,isCSSRequest,createLogger,DevEnvironment.name,ResolvedConfig.base,EnvironmentModuleGraph.getModulesByFile,DevEnvironment.moduleGraph,ViteDevServer.environments,join,init,RollupLog.pos,DevEnvironment.pluginContainer,Logger.info,ResolvedBuildEnvironmentOptions.outDir,EnvironmentModuleNode.id,resolve,HotUpdatePluginContext.environment,ResolvedEnvironmentOptions.build,HotBroadcaster.send,BuildEnvironmentOptions.rollupOptions,UserConfig.base,RollupLog.code,relative,TransformPluginContext.environment,path.normalize,readFile,UserConfig.build,EnvironmentPluginContainer.transform,ViteDevServer.hot,UserConfig.server,normalizePath,path.dirname,dist,UserConfig.logLevel,Logger.error,picocolors,ResolvedConfig.environments,Dirent.name,ResolvedConfig.mode,ViteDevServer,ServerResponse.end,ModuleNode.url,ViteDevServer.transformRequest,isRunnableDevEnvironment,ViteDevServer.pluginContainer,ModuleRunner.import,PreviewServer.middlewares,Logger.warn,rmSync,PluginContext.resolve,Hash.update,Dirent.isFile,rm,PluginContext.environment,ResolvedConfig.build,ResolvedConfig.logger,.pathToFileURL,ViteDevServer.middlewares,ResolvedBuildOptions.assetsDir,EnvironmentOptions.resolve,ResolvedConfig,defaultClientConditions,Connect.IncomingMessage.url,ResolvedConfig.configFile,ConfigEnv.isSsrBuild,createServer,rename,ViteDevServer.config,existsSync,UserConfig.root,RunnableDevEnvironment.runner,ModuleNode.file,mkdir,ServerResponse.setHeader,ConfigEnv.command,Environment.name,ResolvedConfig.command,ConfigEnv.mode,ManifestChunk.css,cp,ResolvedConfig.server,ViteDevServer.ssrFixStacktrace,Plugin,ManifestChunk.assets,ResolvedConfig.root,ViteDevServer.ssrLoadModule,Connect.Server.use,EnvironmentOptions,readdir,UserConfig.plugins,PreviewServer,ResolvedServerOptions.middlewareMode,DevEnvironment.reloadModule,PluginContainer.buildStart,createHash,Plugin.name,ManifestChunk.file,EnvironmentOptions.optimizeDeps,loadConfigFromFile,URL.href,ViteBuilder.build,readdirSync,Hash.digest,Environment.config,UserConfig.environments,Dirent.path,ResolvedId.id,ViteBuilder.environments,node",""
"vite","@types",24,50,4,133,25,3325,"transformAsync,global.NodeRequire.resolve,BabelFileResult.map,BabelFileResult.code,path.PlatformPath.resolve,path.PlatformPath.join,jsesc,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,pick,global.NodeJS.Process.env,path.PlatformPath.basename,global.Buffer.toString,path.PlatformPath.relative,path.PlatformPath.posix,global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.cwd,GeneratorResult,path.PlatformPath.dirname,GeneratorResult.code",""
"remove-exports","@babel",17,58,1,23,4,2300,"AssignmentExpression.left,ExportNamedDeclaration.specifiers,FunctionDeclaration.id,ClassDeclaration.id,VariableDeclarator.id,ParseResult,Identifier.name,ExportDefaultDeclaration.declaration,ExpressionStatement.expression,Expression.type,ExportSpecifier.local,ExportDeclaration.type,ExportNamedDeclaration.declaration,MemberExpression.object,LVal.type,VariableDeclaration.declarations,ExportSpecifier.exported",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.node,NodePath.isProgram,NodePath.parentPath,NodePath.remove",""
"remove-exports","no namespace",2,2,1,23,4,2300,"findReferencedIdentifiers,deadCodeElimination",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isFunctionDeclaration,NodePath.scope,NodePath.isIdentifier,NodePath.isVariableDeclaration,NodePath.isExportNamedDeclaration,Scope.generateUidIdentifier,NodePath.replaceWith,NodePath.isExpression,NodePath.get,NodePath.isExportDefaultDeclaration,NodePath.node",""
"with-props","@babel",10,14,1,21,4,2100,"ParseResult,variableDeclarator,stringLiteral,importSpecifier,Program.body,variableDeclaration,identifier,ParseResult.program,importDeclaration,callExpression",""
"cloudflare","no namespace",14,20,1,15,3,1500,"EnvironmentResolveOptions.externalConditions,Connect.Server.use,UserConfig.root,ConfigEnv.mode,ViteDevServer.middlewares,Plugin.name,ResolvedConfig.server,Plugin,ViteDevServer.config,GetPlatformProxyOptions,EnvironmentOptions.resolve,ViteDevServer.ssrLoadModule,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode",""
"cloudflare","@types",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,3,1500,"EnvironmentResolveOptions.externalConditions,Connect.Server.use,UserConfig.root,ConfigEnv.mode,ViteDevServer.middlewares,Plugin.name,ResolvedConfig.server,Plugin,ViteDevServer.config,GetPlatformProxyOptions,EnvironmentOptions.resolve,ViteDevServer.ssrLoadModule,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode",""
"cloudflare-dev-proxy","@types",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"warn-on-client-source-maps","no namespace",12,14,1,12,2,1200,"ResolvedBuildOptions.sourcemap,Plugin,ResolvedConfig.environments,ResolvedBuildOptions.ssr,ResolvedConfig.mode,ConfigEnv.command,ResolvedConfig.build,picocolors,ResolvedConfig.logger,Logger.warn,ResolvedEnvironmentOptions.build,ResolvedBuildEnvironmentOptions.sourcemap",""
"run","@types",5,7,1,8,5,800,"global.NodeJS.ProcessVersions.node,semver,major,global.NodeRequire.main,global.NodeJS.Process.versions",""
"run","no namespace",3,4,1,8,5,800,"arg,arg.Result._,arg.Result.""--no-typescript""",""
