"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","node",90,152,4,133,25,3325,"EnvironmentModuleNode.file,PluginOption,isCSSRequest,createLogger,DevEnvironment.name,ResolvedConfig.base,EnvironmentModuleGraph.getModulesByFile,DevEnvironment.moduleGraph,ViteDevServer.environments,DevEnvironment.pluginContainer,Logger.info,ResolvedBuildEnvironmentOptions.outDir,EnvironmentModuleNode.id,HotUpdatePluginContext.environment,ResolvedEnvironmentOptions.build,HotBroadcaster.send,BuildEnvironmentOptions.rollupOptions,UserConfig.base,UserConfig.build,EnvironmentPluginContainer.transform,ViteDevServer.hot,UserConfig.server,normalizePath,UserConfig.logLevel,Logger.error,ResolvedConfig.environments,ResolvedConfig.mode,ViteDevServer,ModuleNode.url,ViteDevServer.transformRequest,isRunnableDevEnvironment,ViteDevServer.pluginContainer,PreviewServer.middlewares,Logger.warn,ResolvedConfig.build,ResolvedConfig.logger,ViteDevServer.middlewares,ResolvedBuildOptions.assetsDir,EnvironmentOptions.resolve,ResolvedConfig,defaultClientConditions,Connect.IncomingMessage.url,ResolvedConfig.configFile,ConfigEnv.isSsrBuild,createServer,ViteDevServer.config,UserConfig.root,RunnableDevEnvironment.runner,ModuleNode.file,ConfigEnv.command,Environment.name,ResolvedConfig.command,ConfigEnv.mode,ManifestChunk.css,ResolvedConfig.server,ViteDevServer.ssrFixStacktrace,Plugin,ManifestChunk.assets,ResolvedConfig.root,ViteDevServer.ssrLoadModule,Connect.Server.use,EnvironmentOptions,UserConfig.plugins,PreviewServer,ResolvedServerOptions.middlewareMode,DevEnvironment.reloadModule,PluginContainer.buildStart,Plugin.name,ManifestChunk.file,EnvironmentOptions.optimizeDeps,loadConfigFromFile,ViteBuilder.build,Environment.config,UserConfig.environments,ViteBuilder.environments,node",""
"vite","rollup",8,15,4,133,25,3325,"RollupOptions.onwarn,RollupLog.message,RollupLog.pos,RollupLog.code,TransformPluginContext.environment,PluginContext.resolve,PluginContext.environment,ResolvedId.id",""
"vite","promises",7,15,4,133,25,3325,"readFile,rm,rename,mkdir,cp,readdir",""
"vite","@types/babel__core",6,6,4,133,25,3325,"transformAsync,BabelFileResult.map,BabelFileResult.code",""
"vite","@types/path",6,25,4,133,25,3325,"path.PlatformPath.resolve,path.PlatformPath.join,path.PlatformPath.basename,path.PlatformPath.relative,path.PlatformPath.posix,path.PlatformPath.dirname",""
"vite","dist",6,10,4,133,25,3325,"join,resolve,relative,path.normalize,path.dirname,dist",""
"vite","@types/process",5,9,4,133,25,3325,"global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Process.env,global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.cwd",""
"vite","fs",3,6,4,133,25,3325,"Dirent.name,Dirent.isFile,Dirent.path",""
"vite","node:fs",3,8,4,133,25,3325,"rmSync,existsSync,readdirSync",""
"vite","@types/babel__generator",2,2,4,133,25,3325,"GeneratorResult,GeneratorResult.code",""
