"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",46,505,1,119,5,10.978260869565219,23.386120414026,108,1,13,1,2.347826086956522,2.4605093538113683,0.15847860538827258,2.0602218700475436,0.15847860538827258,0.3720802039550748,0.3899380909368254,"copy-template,create-react-router,prompts-confirm,prompts-multi-select",""
"@types",42,233,1,45,3,5.547619047619046,7.8404902190950985,119,1,14,1.5,2.8333333333333335,3.267852779520198,0.15847860538827258,2.218700475435816,0.23771790808240886,0.44902271526677234,0.5178847511125514,"create-react-router,loading-indicator,prompts-prompt-base,prompts-select",""
"@babel",5,51,2,17,10,10.2,6.418722614352486,6,1,2,1,1.2,0.4472135954999579,0.15847860538827258,0.31695721077654515,0.15847860538827258,0.19017432646592708,0.07087378692550839,"useJavascript,remove-exports,route-chunks,styles",""
"@cloudflare",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.15847860538827258,0.7923930269413628,0.6339144215530903,0.5282620179609085,0.32989952447957727,"react-router-cloudflare,worker,workersKVStorage",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.15847860538827258,0.15847860538827258,0.15847860538827258,0.15847860538827258,0,"arcTableSessionStorage,react-router-architect",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0,"react-router-node,server",""
