"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: domains/java/queries/java-code-quality/Annotated_code_elements.cypher"
"jakarta.annotation.Nonnull","Parameter",3497,"org.axonframework.test.fixture.RecordingCommandBus.<init>(0),org.axonframework.test.fixture.RecordingCommandBus.dispatch(0),org.axonframework.test.fixture.RecordingCommandBus.subscribe(0),org.axonframework.test.fixture.RecordingCommandBus.subscribe(1),org.axonframework.test.fixture.RecordingCommandBus.describeTo(0),org.axonframework.test.fixture.RecordingCommandBus.resultOf(0),org.axonframework.test.fixture.AxonTestFixture$Customization.<init>(1),org.axonframework.test.fixture.AxonTestFixture$Customization.registerFieldFilter(0),org.axonframework.test.fixture.AxonTestFixture$Customization.registerIgnoredField(0)",""
"jakarta.annotation.Nonnull","Method",865,"org.axonframework.test.extension.ProvidedAxonTestFixtureUtils.getAxonTestFixtureProvider,org.axonframework.test.FixtureResourceParameterResolverFactory$FailingParameterResolver.resolveParameterValue,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration.executorServiceFactory,org.axonframework.messaging.monitoring.interception.MonitoringEventHandlerInterceptor.interceptOnHandle,org.axonframework.messaging.monitoring.interception.MonitoringQueryHandlerInterceptor.interceptOnHandle,org.axonframework.messaging.monitoring.interception.MonitoringSubscriptionQueryUpdateDispatchInterceptor.interceptOnDispatch,org.axonframework.messaging.monitoring.interception.MonitoringCommandHandlerInterceptor.interceptOnHandle,org.axonframework.messaging.monitoring.interception.MonitoringEventDispatchInterceptor.interceptOnDispatch,org.axonframework.messaging.monitoring.configuration.MessageMonitorRegistry.registerMonitor",""
"jakarta.annotation.Nullable","Parameter",395,"org.axonframework.test.fixture.RecordingCommandBus.dispatch(1),org.axonframework.test.fixture.AxonTestThenCommand.<init>(4),org.axonframework.test.fixture.AxonTestThenNothing.<init>(3),org.axonframework.test.fixture.RecordingEventSink.publish(0),org.axonframework.test.fixture.AxonTestThenMessage.<init>(3),org.axonframework.test.fixture.AxonTestThenEvent.<init>(3),org.axonframework.test.fixture.RecordingEventStore.open(1),org.axonframework.test.fixture.RecordingEventStore.firstToken(0),org.axonframework.test.fixture.RecordingEventStore.latestToken(0)",""
"jakarta.annotation.Nullable","Method",112,"org.axonframework.test.fixture.RecordingCommandBus.resultOf,org.axonframework.test.extension.AxonFrameworkExtension.resolveParameter,org.axonframework.messaging.monitoring.configuration.MessageMonitorFactory.build,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory.createInstance,org.axonframework.messaging.commandhandling.gateway.CommandGateway.sendAndWait,org.axonframework.messaging.eventhandling.annotation.EventAppenderParameterResolverFactory.createInstance,org.axonframework.messaging.eventhandling.replay.annotation.ReplayParameterResolverFactory.createInstance,org.axonframework.messaging.eventhandling.replay.annotation.ReplayContextParameterResolverFactory.createInstance,org.axonframework.messaging.eventhandling.processing.streaming.token.annotation.TrackingTokenParameterResolverFactory.createInstance",""
"org.axonframework.common.annotation.Internal","Class",83,"org.axonframework.test.fixture.RecordingComponentsRegistry,org.axonframework.test.fixture.RecordingCommandBus,org.axonframework.test.fixture.RecordingEventSink,org.axonframework.test.fixture.MessagesRecordingConfigurationEnhancer,org.axonframework.test.util.RecordingCommandBus,org.axonframework.test.fixture.RecordingEventBus,org.axonframework.test.fixture.RecordingEventStore,org.axonframework.test.extension.ProvidedAxonTestFixtureUtils,org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry",""
"jakarta.annotation.Nonnull","Field",72,"org.axonframework.test.fixture.AxonTestFixture$Customization.fieldFilters,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration.executorServiceFactory,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.commandConverter,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.delegate,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration.schema,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration.claimTimeout,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration.nodeId,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStoreConfiguration.loadingLockMode,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStoreConfiguration.claimTimeout",""
"java.lang.FunctionalInterface","Interface",59,"org.axonframework.test.extension.AxonTestFixtureProvider,org.axonframework.test.matchers.FieldFilter,org.axonframework.messaging.monitoring.configuration.MessageMonitorFactory,org.axonframework.messaging.commandhandling.distributed.CommandBusConnector$Handler,org.axonframework.messaging.commandhandling.CommandHandler,org.axonframework.messaging.commandhandling.CommandPriorityCalculator,org.axonframework.messaging.eventhandling.EventHandler,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule$Customization,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$EventFilter",""
"org.springframework.context.annotation.Bean","Method",45,"org.axonframework.extension.springboot.autoconfig.JdbcTransactionAutoConfiguration.axonTransactionManager,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurationEnhancer,org.axonframework.extension.springboot.autoconfig.CorrelationDataProviderAutoConfiguration.providerDecorator,org.axonframework.extension.springboot.autoconfig.Jackson2MapperAutoConfiguration.defaultAxonJackson2Mapper,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.defaultAxonSchemaStore,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.collectAvroSchemasFromClassPath,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.specificRecordBaseClasspathAvroSchemaLoader,org.axonframework.extension.springboot.autoconfig.InfrastructureAutoConfiguration.messageHandlerLookup",""
"java.lang.annotation.Retention","Annotation",42,"org.axonframework.test.extension.ProvidedAxonTestFixture,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.annotation.Timestamp,org.axonframework.messaging.eventhandling.annotation.ConcludesBatch,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay",""
"java.lang.annotation.Target","Annotation",42,"org.axonframework.test.extension.ProvidedAxonTestFixture,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.annotation.Timestamp,org.axonframework.messaging.eventhandling.annotation.ConcludesBatch,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",23,"org.axonframework.extension.springboot.autoconfig.JdbcTransactionAutoConfiguration.axonTransactionManager,org.axonframework.extension.springboot.autoconfig.Jackson2MapperAutoConfiguration.defaultAxonJackson2Mapper,org.axonframework.extension.springboot.autoconfig.JpaAutoConfiguration.entityManagerProvider,org.axonframework.extension.springboot.autoconfig.JpaAutoConfiguration.tokenStore,org.axonframework.extension.springboot.autoconfig.JpaAutoConfiguration.persistenceExceptionResolver,org.axonframework.extension.springboot.autoconfig.UpdateCheckerAutoConfiguration.usagePropertyProvider,org.axonframework.extension.springboot.autoconfig.JpaTransactionAutoConfiguration.axonTransactionManager,org.axonframework.extension.springboot.autoconfig.AxonAutoConfiguration.springComponentRegistry,org.axonframework.extension.springboot.autoconfig.AxonAutoConfiguration.springLifecycleRegistry",""
