"dependencyArtifactName","dependencyTypeIsInterface","usedInArtifacts","usedInPackages","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: domains/java/queries/artifact-dependencies/Usage_and_spread_of_internal_artifact_dependencies.cypher"
"axon-common-5.0.3",false,8,85,28.571428571428573,100,81.73123486682809,23.884337043035192,85.71428571428572,2,52,10.625,16.766782637107216,5,4,86.95652173913044,32.778943869701926,24.535049398999462,23.913043478260867,""
"axon-common-5.0.3",true,8,67,28.571428571428573,100,69.33414043583535,26.94844791986581,66.66666666666667,2,39,8.375,12.546342665721923,4,13.88888888888889,32.608695652173914,21.820866266877474,5.447178776304204,20.898100172711572,""
"axon-conversion-5.0.3",false,1,4,6.779661016949152,6.779661016949152,6.779661016949152,0,6.779661016949152,4,4,4,0,4,0.690846286701209,0.690846286701209,0.690846286701209,0,0.690846286701209,""
"axon-conversion-5.0.3",true,1,13,22.033898305084744,22.033898305084744,22.033898305084744,0,22.033898305084744,13,13,13,0,13,5.699481865284974,5.699481865284974,5.699481865284974,0,5.699481865284974,""
"axon-eventsourcing-5.0.3",false,1,2,40,40,40,0,40,2,2,2,0,2,11.11111111111111,11.11111111111111,11.11111111111111,0,11.11111111111111,""
"axon-eventsourcing-5.0.3",true,1,2,40,40,40,0,40,2,2,2,0,2,11.11111111111111,11.11111111111111,11.11111111111111,0,11.11111111111111,""
"axon-messaging-5.0.3",true,4,22,66.66666666666667,100,86.66666666666667,16.329931618554514,80,4,7,5.5,1.7320508075688772,4,34.72222222222222,46.73913043478261,41.480722779635826,5.85569584232349,38.46153846153847,""
"axon-messaging-5.0.3",false,5,22,28.571428571428573,100,68.38095238095238,35.169818023032796,80,2,7,4.4,2.5099800796022267,4,11.53846153846154,29.166666666666664,20.271460423634334,8.421435268389947,20.652173913043477,""
"axon-modelling-5.0.3",true,1,3,42.85714285714286,42.85714285714286,42.85714285714286,0,42.85714285714286,3,3,3,0,3,12,12,12,0,12,""
"axon-modelling-5.0.3",false,1,2,28.571428571428573,28.571428571428573,28.571428571428573,0,28.571428571428573,2,2,2,0,2,4,4,4,0,4,""
"axon-server-connector-5.0.3",false,1,3,42.85714285714286,42.85714285714286,42.85714285714286,0,42.85714285714286,3,3,3,0,3,6.666666666666666,6.666666666666666,6.666666666666666,0,6.666666666666666,""
"axon-update-5.0.3",true,1,2,28.571428571428573,28.571428571428573,28.571428571428573,0,28.571428571428573,2,2,2,0,2,5.333333333333333,5.333333333333333,5.333333333333333,0,5.333333333333333,""
