"artifactName","packagesInArtifactCount","packagesCount","packageSpread","typesInArtifactCount","typesCount","typesSpread","dependencyArtifactName","dependencyTypeIsInterface","dependencyPackagesCount","dependencyTypesCount","someDependencyPackages","someDependencyTypes","someCallingPackages","someCallingTypes","Source Cypher File: domains/java/queries/artifact-dependencies/Artifacts_with_dependencies_to_other_artifacts.cypher"
"axon-messaging-5.0.3",59,52,88.14,579,214,36.96,"axon-common-5.0.3",false,7,36,"org.axonframework.common,org.axonframework.common.annotation","AxonTransientException,AxonThreadFactory,FutureUtils,ObjectUtils","org.axonframework.messaging.eventhandling.processing.streaming.token.store,org.axonframework.messaging.commandhandling","UnableToInitializeTokenException,UnableToRetrieveIdentifierException,NoHandlerForCommandException,UnableToClaimTokenException",""
"axon-messaging-5.0.3",59,39,66.1,579,121,20.9,"axon-common-5.0.3",true,8,24,"org.axonframework.common,org.axonframework.common.jdbc","Registration,JdbcUtils$SqlResultConverter,ExecutorServiceFactory,Property","org.axonframework.messaging.queryhandling.distributed,org.axonframework.messaging.core","QueryBusConnector$Handler,PayloadConvertingQueryBusConnector$1,SubscribableEventSource,DistributedQueryBus$DistributedHandler",""
"axon-messaging-5.0.3",59,13,22.03,579,33,5.7,"axon-conversion-5.0.3",true,1,1,"org.axonframework.conversion","Converter","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","JdbcTokenEntry,TokenEntry,MessageConverter,CommandMessage",""
"axon-modelling-5.0.3",7,7,100,92,19,20.65,"axon-messaging-5.0.3",false,5,12,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.core","DuplicateCommandHandlerSubscriptionException,GenericCommandResultMessage,NoHandlerForCommandException,Context$ResourceKey","org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation","ConcreteEntityMetamodel$Builder,AnnotatedEntityMetamodel,PolymorphicEntityMetamodel,EntityCommandHandlingComponent",""
"axon-modelling-5.0.3",7,7,100,92,43,46.74,"axon-messaging-5.0.3",true,11,23,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation","CommandMessage,CommandHandlingComponent,CommandResultMessage,CommandBus","org.axonframework.modelling.entity,org.axonframework.modelling.entity.child","WrongPolymorphicEntityTypeException,CommandTargetResolver,AbstractEntityChildMetamodel,RoutingKeyCommandTargetResolver",""
"axon-eventsourcing-5.0.3",7,7,100,100,46,46,"axon-messaging-5.0.3",true,13,29,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.configuration","CommandHandlingComponent,CommandBus,CommandHandlingModule,EventMessage","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing.eventstore.jpa","SimpleEventSourcedEntityModule,EventSourcingConfigurer,AggregateBasedJpaEventStorageEngine$AggregateSource,TaggedEventMessage",""
"axon-eventsourcing-5.0.3",7,7,100,100,28,28,"axon-messaging-5.0.3",false,8,18,"org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.annotation","SimpleEventBus,InterceptingEventBus,TerminalEventMessage,GenericEventMessage","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing.eventstore","EventSourcingConfigurationDefaults,InterceptingEventStore,AggregateBasedJpaEventStorageEngine,InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream",""
"axon-eventsourcing-5.0.3",7,7,100,100,25,25,"axon-common-5.0.3",true,6,17,"org.axonframework.common,org.axonframework.common.jdbc","Registration,PersistenceExceptionResolver,TransactionalExecutor,ComponentDescriptor","org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","ContinuousMessageStream,AggregateBasedJpaEventStorageEngine,InterceptingEventStore,StorageEngineBackedEventStore",""
"axon-modelling-5.0.3",7,7,100,92,30,32.61,"axon-common-5.0.3",true,3,14,"org.axonframework.common.property,org.axonframework.common.infra","Property,ComponentDescriptor,DescribableComponent,AxonConfiguration","org.axonframework.modelling.entity.annotation,org.axonframework.modelling","AnnotatedEntityModelRoutingKeyMatcher,PropertyBasedEntityIdResolver,InMemoryRepository,SimpleRepository",""
"axon-modelling-5.0.3",7,6,85.71,92,22,23.91,"axon-common-5.0.3",false,4,13,"org.axonframework.common,org.axonframework.common.annotation","AxonTransientException,FutureUtils,Assert,AxonConfigurationException","org.axonframework.modelling,org.axonframework.modelling.configuration","ConcurrencyException,SimpleStateBasedEntityModule,InMemoryRepository,PropertyBasedEntityIdResolver",""
