"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements_per_artifact.cypher"
"axon-common-5.0.3","jakarta.annotation.Nonnull","Parameter",288,"org.axonframework.common.AxonThreadFactory.newThread(0),org.axonframework.common.jdbc.ConnectionExecutor.<init>(0),org.axonframework.common.jdbc.ConnectionExecutor.apply(0),org.axonframework.common.util.ExecutorServiceFactory.createExecutorService(0),org.axonframework.common.util.ExecutorServiceFactory.createExecutorService(1),org.axonframework.common.ReflectionUtils.getFieldValue(0),org.axonframework.common.ReflectionUtils.getFieldValue(1),org.axonframework.common.ReflectionUtils.setFieldValue(0),org.axonframework.common.ReflectionUtils.setFieldValue(1)",""
"axon-common-5.0.3","jakarta.annotation.Nonnull","Method",43,"org.axonframework.common.util.ExecutorServiceFactory.createExecutorService,org.axonframework.common.ReflectionUtils.ensureAccessible,org.axonframework.common.ReflectionUtils.fieldsOf,org.axonframework.common.ReflectionUtils.methodOf,org.axonframework.common.ReflectionUtils.methodsOf,org.axonframework.common.ReflectionUtils.resolvePrimitiveWrapperType,org.axonframework.common.ReflectionUtils.resolvePrimitiveWrapperTypeIfPrimitive,org.axonframework.common.ReflectionUtils.unwrapIfType,org.axonframework.common.ReflectionUtils.resolveGenericType",""
"axon-common-5.0.3","jakarta.annotation.Nullable","Parameter",36,"org.axonframework.common.StringUtils.capitalize(0),org.axonframework.common.ReflectionUtils.explicitlyUnequal(0),org.axonframework.common.ReflectionUtils.explicitlyUnequal(1),org.axonframework.common.lifecycle.LifecycleHandlerInvocationException.<init>(1),org.axonframework.common.configuration.DefaultComponentRegistry$LocalConfiguration.<init>(0),org.axonframework.common.configuration.DefaultComponentRegistry$LocalConfiguration.getOptionalComponent(1),org.axonframework.common.configuration.DefaultComponentRegistry$LocalConfiguration.getComponent(1),org.axonframework.common.configuration.ComponentDefinition.ofTypeAndName(1),org.axonframework.common.configuration.ComponentRegistry.registerComponent(1)",""
"axon-common-5.0.3","java.lang.FunctionalInterface","Interface",12,"org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter,org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.jdbc.JdbcUtils$SqlFunction,org.axonframework.common.util.ExecutorServiceFactory,org.axonframework.common.property.Property,org.axonframework.common.Registration,org.axonframework.common.infra.DescribableComponent,org.axonframework.common.lock.LockFactory,org.axonframework.common.configuration.ComponentLifecycleHandler",""
"axon-common-5.0.3","jakarta.annotation.Nullable","Method",7,"org.axonframework.common.ReflectionUtils.declaringClass,org.axonframework.common.FutureUtils.joinAndUnwrap,org.axonframework.common.configuration.AbstractComponent.name,org.axonframework.common.configuration.ComponentDefinition.name,org.axonframework.common.configuration.Components.put,org.axonframework.common.configuration.Component$Identifier.name,org.axonframework.common.configuration.Configuration.getParent",""
"axon-common-5.0.3","org.axonframework.common.annotation.Internal","Class",5,"org.axonframework.common.jdbc.ConnectionExecutor,org.axonframework.common.configuration.LazyInitializedComponentDefinition,org.axonframework.common.jpa.EntityManagerExecutor,org.axonframework.common.configuration.InstantiatedComponentDefinition,org.axonframework.common.configuration.Components",""
"axon-common-5.0.3","org.axonframework.common.annotation.Internal","Interface",4,"org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.tx.TransactionalExecutor,org.axonframework.common.jpa.EntityManagerProvider,org.axonframework.common.configuration.Component",""
"axon-common-5.0.3","java.lang.annotation.Retention","Annotation",2,"org.axonframework.common.annotation.Internal,org.axonframework.common.Priority",""
"axon-common-5.0.3","java.lang.annotation.Target","Annotation",2,"org.axonframework.common.annotation.Internal,org.axonframework.common.Priority",""
"axon-common-5.0.3","jakarta.annotation.Nonnull","Field",2,"org.axonframework.common.configuration.AbstractComponent$HandlerRegistration.handler,org.axonframework.common.configuration.Component$Identifier.type",""
