"dependentArtifactName","numberOfReflectionCaller","someReflectionCaller","someReflectionTypes","Source Cypher File: Java/Java_Reflection_usage.cypher"
"axon-conversion-5.0.3",35,"org.axonframework.conversion.ChainedConverter$Route,org.axonframework.conversion.ConversionException,org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.converter.BlobToInputStreamConverter,org.axonframework.conversion.avro.AvroConverterConfiguration,org.axonframework.conversion.CachingSupplier,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker,org.axonframework.conversion.converter.InputStreamToByteArrayConverter,org.axonframework.conversion.package-info,org.axonframework.conversion.ChainedConverter,org.axonframework.conversion.converter.ByteArrayToInputStreamConverter,org.axonframework.conversion.converter.StringToByteArrayConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.ChainingContentTypeConverter","java.lang.reflect.Type,java.lang.reflect.Constructor,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-messaging-5.0.3",579,"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$ErrorHandler,org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay,org.axonframework.messaging.core.MessageHandlerInterceptorChain,org.axonframework.messaging.core.GenericResultMessage,org.axonframework.messaging.core.SimpleEntry,org.axonframework.messaging.core.FilteringMessageStream,org.axonframework.messaging.tracing.TracingHandlerEnhancerDefinition,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver$AnnotationSpecification,org.axonframework.messaging.queryhandling.annotation.Query,org.axonframework.messaging.core.timeout.AxonTaskJanitor,org.axonframework.messaging.queryhandling.distributed.PayloadConvertingQueryBusConnector,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenEntry,org.axonframework.messaging.tracing.TracingHandlerEnhancerDefinition$1,org.axonframework.messaging.core.unitofwork.transaction.NoTransactionManager,org.axonframework.messaging.commandhandling.DuplicateCommandHandlerSubscriptionException,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver,org.axonframework.messaging.eventhandling.processing.streaming.token.annotation.TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils","java.lang.reflect.Type,java.lang.reflect.Executable,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Parameter,java.lang.reflect.Constructor,java.lang.reflect.Modifier,java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.WildcardType,java.lang.reflect.AnnotatedElement",""
"axon-spring-boot-autoconfigure-5.0.3",75,"org.axonframework.extension.springboot.autoconfig.ConverterAutoConfiguration,org.axonframework.extension.springboot.autoconfig.Jackson2MapperAutoConfiguration$JacksonConfiguredCondition$MessagesJacksonCondition,org.axonframework.extension.springboot.UpdateCheckerProperties,org.axonframework.extension.springboot.autoconfig.ObjectMapperAutoConfiguration$JacksonConfiguredCondition$GeneralJacksonCondition,org.axonframework.extension.springboot.EventProcessorProperties$ProcessorSettings,org.axonframework.extension.springboot.UpdateCheckerProperties$1,org.axonframework.extension.springboot.autoconfig.ObjectMapperAutoConfiguration$JacksonConfiguredCondition$MessagesJacksonCondition,org.axonframework.extension.springboot.ConverterProperties,org.axonframework.extension.springboot.DistributedCommandBusProperties$JGroupsProperties,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration$OnMissingDefaultSchemaStoreCondition$SchemaStoreIsMissingCondition,org.axonframework.extension.springboot.autoconfig.UpdateCheckerAutoConfiguration$NotTestEnvironmentCondition,org.axonframework.extension.springboot.autoconfig.AxonServerAutoConfiguration$1,org.axonframework.extension.springboot.service.connection.AxonServerConnectionDetails,org.axonframework.extension.springboot.autoconfig.SecurityAutoConfiguration,org.axonframework.extension.springboot.autoconfig.Jackson2MapperAutoConfiguration$JacksonConfiguredCondition$GeneralJacksonCondition,org.axonframework.extension.springboot.actuator.axonserver.AxonServerStatusAggregator,org.axonframework.extension.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.extension.springboot.TimeoutProperties$MessageHandlerTimeoutProperties,org.axonframework.extension.springboot.autoconfig.Jackson2MapperAutoConfiguration","",""
"axon-metrics-micrometer-5.0.3",16,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor$Builder,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration$1,org.axonframework.extension.metrics.micrometer.reservoir.SlidingTimeWindowReservoir,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties$Micrometer,org.axonframework.extension.metrics.micrometer.CapacityMonitor,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder","",""
"axon-test-5.0.3",78,"org.axonframework.test.fixture.AxonTestPhase$When$Nothing,org.axonframework.test.fixture.RecordingEventStore,org.axonframework.test.FixtureExecutionException,org.axonframework.test.matchers.MatchAllFieldFilter,org.axonframework.test.util.DefaultCallbackBehavior,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.test.matchers.PredicateMatcher,org.axonframework.test.matchers.MapStringEntryMatcher$Matching,org.axonframework.test.fixture.MessagesRecordingConfigurationEnhancer,org.axonframework.test.util.package-info,org.axonframework.test.matchers.NullOrVoidMatcher,org.axonframework.test.matchers.MatcherExecutionException,org.axonframework.test.fixture.AxonTestWhen,org.axonframework.test.fixture.AxonTestGiven,org.axonframework.test.matchers.NonTransientFieldsFilter,org.axonframework.test.util.DescriptionUtils,org.axonframework.test.matchers.MapStringEntryMatcher,org.axonframework.test.fixture.AxonTestThenMessage,org.axonframework.test.fixture.AxonTestThenNothing","java.lang.reflect.Field,java.lang.reflect.Parameter,java.lang.reflect.AnnotatedElement,java.lang.reflect.Constructor,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.Executable",""
"axon-eventsourcing-5.0.3",100,"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.EntityMissingAfterLoadOrCreateException,org.axonframework.eventsourcing.eventstore.EventCoordinator,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$2,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator,org.axonframework.eventsourcing.eventstore.StorageEngineBackedEventStore,org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory$ScannedEntityCreator,org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule$EntityFactoryPhase,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator$1,org.axonframework.eventsourcing.configuration.EventSourcingConfigurer,org.axonframework.eventsourcing.eventstore.GenericTaggedEventMessage,org.axonframework.eventsourcing.eventstore.EventCoordinator$1,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolverDefinition,org.axonframework.eventsourcing.eventstore.AggregateBasedConsistencyMarker,org.axonframework.eventsourcing.eventstore.EventCoordinator$Handle,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.eventstore.GlobalIndexConsistencyMarker","java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.AnnotatedElement,java.lang.reflect.Field,java.lang.reflect.Member,java.lang.reflect.InvocationTargetException",""
"axon-server-connector-5.0.3",72,"org.axonframework.axonserver.connector.event.SourcingEventMessageStream,org.axonframework.axonserver.connector.util.ExceptionConverter,org.axonframework.axonserver.connector.event.EventProcessorControlService$AxonProcessorInstructionHandler,org.axonframework.axonserver.connector.TopologyChange$HandlerSubscription,org.axonframework.axonserver.connector.query.QueryResponseMessageStream,org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine,org.axonframework.axonserver.connector.AxonServerRegistration,org.axonframework.axonserver.connector.event.ConditionConverter,org.axonframework.axonserver.connector.TagsConfiguration,org.axonframework.axonserver.connector.event.EventProcessorInfoUtils,org.axonframework.axonserver.connector.util.GrpcExceptionParser,org.axonframework.axonserver.connector.query.AxonServerRemoteQueryHandlingException,org.axonframework.axonserver.connector.TargetContextResolver,org.axonframework.axonserver.connector.AxonServerConfiguration$Builder,org.axonframework.axonserver.connector.util.Scheduler$ScheduledTask,org.axonframework.axonserver.connector.ManagedChannelCustomizer,org.axonframework.axonserver.connector.query.QueryUpdateMessageStream,org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$AggregateSource,org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector$FutureResultCallback","",""
"axon-tracing-opentelemetry-5.0.3",5,"org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory","",""
"axon-modelling-5.0.3",92,"org.axonframework.modelling.configuration.StateBasedEntityModule,org.axonframework.modelling.repository.ManagedEntity,org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolverDefinition,org.axonframework.modelling.entity.annotation.UnknownRoutingKeyException,org.axonframework.modelling.entity.EntityAlreadyExistsForCreationalCommandHandlerException,org.axonframework.modelling.entity.EntityCommandHandler,org.axonframework.modelling.configuration.SimpleStateBasedEntityModule,org.axonframework.modelling.entity.child.CommandTargetResolver,org.axonframework.modelling.entity.ChildEntityNotFoundException,org.axonframework.modelling.EntityIdResolutionException,org.axonframework.modelling.EntityEvolver,org.axonframework.modelling.entity.child.ChildEntityFieldDefinition,org.axonframework.modelling.entity.child.EntityChildMetamodel,org.axonframework.modelling.StateManager,org.axonframework.modelling.EntityIdResolver,org.axonframework.modelling.configuration.SimpleStateBasedEntityModule$3,org.axonframework.modelling.configuration.EntityMetamodelConfigurationBuilder,org.axonframework.modelling.repository.Repository,org.axonframework.modelling.entity.annotation.ListEntityChildModelDefinition","java.lang.reflect.Member,java.lang.reflect.AnnotatedElement,java.lang.reflect.Field,java.lang.reflect.Method,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.ParameterizedType,java.lang.reflect.Modifier",""
"axon-update-5.0.3",23,"org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.api.ArtifactAvailableUpgrade,org.axonframework.update.detection.TestEnvironmentDetector,org.axonframework.update.configuration.UsagePropertyProvider,org.axonframework.update.detection.MachineId,org.axonframework.update.LoggingUpdateCheckerReporter,org.axonframework.update.api.DetectedVulnerability,org.axonframework.update.configuration.HierarchicalUsagePropertyProvider,org.axonframework.update.configuration.DefaultUsagePropertyProvider,org.axonframework.update.api.UpdateCheckRequest,org.axonframework.update.api.Artifact,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider,org.axonframework.update.configuration.PropertyFileUsagePropertyProvider,org.axonframework.update.UpdateCheckerReporter,org.axonframework.update.common.DelayedTask,org.axonframework.update.detection.AxonVersionDetector,org.axonframework.update.detection.KotlinVersion,org.axonframework.update.UpdateCheckerHttpClient","java.lang.reflect.Method",""
