"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"jakarta.annotation.Nonnull","Parameter",3497,"org.axonframework.conversion.ChainedConverter.calculateChain(0),org.axonframework.conversion.ChainedConverter.calculateChain(1),org.axonframework.conversion.ChainedConverter.calculateChain(2),org.axonframework.conversion.ChainedConverter.canConvert(0),org.axonframework.conversion.ChainedConverter.canConvert(1),org.axonframework.conversion.ChainedConverter.canConvert(2),org.axonframework.conversion.ChainedConverter.<init>(0),org.axonframework.conversion.Converter.convert(1),org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter.<init>(0)",""
"jakarta.annotation.Nonnull","Method",865,"org.axonframework.conversion.ContentTypeConverter.expectedSourceType,org.axonframework.conversion.ContentTypeConverter.targetType,org.axonframework.conversion.ChainedConverter.expectedSourceType,org.axonframework.conversion.ChainedConverter.targetType,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter.expectedSourceType,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter.targetType,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter.expectedSourceType,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter.targetType,org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter.expectedSourceType",""
"jakarta.annotation.Nullable","Parameter",395,"org.axonframework.conversion.ChainedConverter.convert(0),org.axonframework.conversion.Converter.convert(0),org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter.convert(0),org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter.convert(0),org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter.convert(0),org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter.convert(0),org.axonframework.conversion.jackson.JacksonConverter.convert(0),org.axonframework.conversion.ContentTypeConverter.convert(0),org.axonframework.conversion.converter.ByteArrayToStringConverter.convert(0)",""
"jakarta.annotation.Nullable","Method",112,"org.axonframework.conversion.ChainedConverter.convert,org.axonframework.conversion.ContentTypeConverter.convert,org.axonframework.conversion.Converter.convert,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter.convert,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter.convert,org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter.convert,org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter.convert,org.axonframework.conversion.jackson.JacksonConverter.convert,org.axonframework.conversion.converter.ByteArrayToStringConverter.convert",""
"org.axonframework.common.annotation.Internal","Class",83,"org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfigurationEnhancer,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory,org.axonframework.messaging.commandhandling.interception.CommandMessageHandlerInterceptorChain,org.axonframework.messaging.eventhandling.TerminalEventMessage,org.axonframework.messaging.commandhandling.gateway.ContextAwareCommandDispatcher,org.axonframework.messaging.eventhandling.interception.InterceptingEventHandlingComponent,org.axonframework.messaging.eventhandling.interception.EventMessageHandlerInterceptorChain,org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember",""
"jakarta.annotation.Nonnull","Field",72,"org.axonframework.conversion.avro.AvroConverterConfiguration.strategies,org.axonframework.conversion.avro.AvroConverterConfiguration.schemaStore,org.axonframework.conversion.avro.AvroConverterConfiguration.schemaIncompatibilityChecker,org.axonframework.conversion.avro.AvroConverterConfiguration.avroConverterStrategyConfiguration,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration.executorServiceFactory,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.commandConverter,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.delegate,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration.schema,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration.claimTimeout",""
"java.lang.FunctionalInterface","Interface",59,"org.axonframework.messaging.monitoring.configuration.MessageMonitorFactory,org.axonframework.messaging.commandhandling.distributed.CommandBusConnector$Handler,org.axonframework.messaging.commandhandling.CommandHandler,org.axonframework.messaging.commandhandling.CommandPriorityCalculator,org.axonframework.messaging.eventhandling.EventHandler,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule$Customization,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$EventFilter,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$BatchProcessor,org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorHandler",""
"org.springframework.context.annotation.Bean","Method",45,"org.axonframework.extension.springboot.autoconfig.UpdateCheckerAutoConfiguration.springUpdateCheckerConfigEnhancer,org.axonframework.extension.springboot.autoconfig.JdbcTransactionAutoConfiguration.axonTransactionManager,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurationEnhancer,org.axonframework.extension.springboot.autoconfig.CorrelationDataProviderAutoConfiguration.providerDecorator,org.axonframework.extension.springboot.autoconfig.Jackson2MapperAutoConfiguration.defaultAxonJackson2Mapper,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.defaultAxonSchemaStore,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.collectAvroSchemasFromClassPath,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.specificRecordBaseClasspathAvroSchemaLoader",""
"java.lang.annotation.Retention","Annotation",42,"org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.Timestamp,org.axonframework.messaging.eventhandling.annotation.ConcludesBatch,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay,org.axonframework.messaging.eventhandling.replay.annotation.ReplayContext",""
"java.lang.annotation.Target","Annotation",42,"org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.Timestamp,org.axonframework.messaging.eventhandling.annotation.ConcludesBatch,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay,org.axonframework.messaging.eventhandling.replay.annotation.ReplayContext",""
