"fullQualifiedModuleName","moduleName","incomingDependencies","incomingDependenciesWeight","incomingDependentAbstractTypes","incomingDependentAbstractTypeWeight","incomingDependentModules","incomingDependentPackages","Source Cypher File: Metrics/Get_Incoming_Typescript_Module_Dependencies.cypher"
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/load-dotenv.ts","load-dotenv",2,56,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/node-adapter.ts","node-adapter",2,84,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/optimize-deps-entries.ts","optimize-deps-entries",2,56,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/plugins/validate-plugin-order.ts","validate-plugin-order",2,56,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/plugins/warn-on-client-source-maps.ts","warn-on-client-source-maps",2,56,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/remove-exports.ts","remove-exports",2,84,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/resolve-file-url.ts","resolve-file-url",2,196,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/resolve-relative-route-file-path.ts","resolve-relative-route-file-path",2,168,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/ssr-externals.ts","ssr-externals",2,84,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/virtual-module.ts","virtual-module",2,280,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/vite-node.ts","vite-node",2,56,1,4,1,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-fs-routes/normalizeSlashes.ts","normalizeSlashes",2,225,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/index.ts","react-router-node",2,165,1,0,1,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/server.ts","server",2,22,1,1,1,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-remix-routes-option-adapter/defineRoutes.ts","defineRoutes",2,3,1,1,1,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/errors.ts","errors",2,306,0,0,1,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/href.ts","href",2,34,0,0,2,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/crypto.ts","crypto",2,306,0,0,1,1,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/routeMatching.ts","routeMatching",2,5265,1,486,1,1,""
