"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: domains/archetypes/labels/ArchetypeBottleneck.cypher"
"axon-messaging-5.1.0","MessageStream","org.axonframework.messaging.core.MessageStream",11442.459838533121,1,""
"axon-messaging-5.1.0","Message","org.axonframework.messaging.core.Message",9856.609527541425,2,""
"axon-messaging-5.1.0","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",6626.2426108374375,3,""
"axon-messaging-5.1.0","QualifiedName","org.axonframework.messaging.core.QualifiedName",4588.6106569900685,4,""
"axon-common-5.1.0","ReflectionUtils","org.axonframework.common.ReflectionUtils",4459.95,5,""
"axon-messaging-5.1.0","MessageType","org.axonframework.messaging.core.MessageType",4158.158174178763,6,""
"axon-modelling-5.1.0","AnnotatedEntityMetamodel","org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",3528.50101010101,7,""
"axon-messaging-5.1.0","ProcessingLifecycle","org.axonframework.messaging.core.unitofwork.ProcessingLifecycle",2515.47619047619,8,""
"axon-common-5.1.0","TypeReflectionUtils","org.axonframework.common.TypeReflectionUtils",2042,9,""
"axon-eventsourcing-5.1.0","SimpleEventSourcedEntityModule","org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule",1930.0353174603174,10,""
