"codeUnitName","shortCodeUnitName","projectName","betweenness","articleRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionDependencyHungryOrchestrators.cypher"
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.1.1",9817.588167388174,8.763706821588157,240,234,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.1.1",6610.471428571433,7.158231123206262,233,228,5,""
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.1.1",1400,5.937753562198545,48,46,2,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.1.1",784.5,4.5306879116318015,53,52,1,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.1.1",11349.729365079374,3.230571543627872,147,126,21,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.1.1",1904.8285714285712,3.2264670883334445,29,25,4,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.1.1",1811.2303030303033,2.752105362190794,140,137,3,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.1.1",523.6511904761903,2.524867008772452,96,93,3,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.1.1",4627.043990323405,2.0748181529061025,70,67,3,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.1.1",651.5647186147187,1.6381974082390034,70,67,3,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.1.1",663.6666666666666,1.547872184110788,48,47,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.1",594.0833333333331,1.401216386131077,16,15,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","axon-messaging-5.1.1",1193.0833333333335,1.3873992463974831,42,38,4,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.1.1",4151.324840845429,1.2800036027389743,64,61,3,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","axon-messaging-5.1.1",941.2523809523808,1.279255110474869,52,45,7,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.1.1",643,1.230867049785705,42,41,1,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","axon-messaging-5.1.1",1458.7833333333338,1.2099383978795026,39,31,8,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.1.1",1123.416666666667,1.112089913770372,26,25,1,""
"org.axonframework.messaging.core.AbstractMessageStream$FetchResult","AbstractMessageStream$FetchResult","axon-messaging-5.1.1",441.62727272726926,0.962810134826275,28,21,7,""
"org.axonframework.messaging.core.MessageStream$Empty","MessageStream$Empty","axon-messaging-5.1.1",782.6007936507934,0.8908388102312121,57,52,5,""
