"codeUnitName","shortCodeUnitName","projectName","pageToArticleRankSign","pageToArticleRankDifferenceZScore","pageToArticleRankDifference","pageRank","articleRank","Source Cypher File: domains/archetypes/queries/AnomalyDetectionPotentialImbalancedRoles.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.1.1",1,25.21892409483276,47.91405667849734,53.85181024069588,5.937753562198545,""
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.1.1",1,11.228683138293555,21.486993138996564,23.035178974074597,1.5481858350780324,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.1.1",1,11.228683138293555,21.486993138996564,23.035178974074597,1.5481858350780324,""
"org.axonframework.messaging.core.Context$ResourceKey","Context$ResourceKey","axon-messaging-5.1.1",1,7.655409662573594,14.737207664949675,22.397207902024846,7.660000237075169,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.1.1",1,5.060041759525346,9.834650754364223,18.59835757595238,8.763706821588158,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.1.1",1,5.004599223333529,9.729921791418995,16.88815291462526,7.158231123206263,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor","axon-common-5.1.1",1,4.95337408087503,9.633159334019147,11.167066256391257,1.5339069223721098,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.1.1",1,4.880045315963198,9.494643926341888,11.042516110452677,1.547872184110788,""
"org.axonframework.common.AxonException","AxonException","axon-common-5.1.1",1,4.132393810712931,8.08235704035963,9.503294943815499,1.4209379034558685,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.1.1",1,3.5403334650362455,6.963976276009519,8.194843325795224,1.230867049785705,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.1.1",1,3.328659390909645,6.564131539668935,7.115028184813579,0.5508966451446441,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.1.1",1,3.029170387213369,5.998407550021431,10.529095461653233,4.5306879116318015,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.1",1,2.828939612402272,5.620178795782355,7.021395181913432,1.4012163861310771,""
"org.axonframework.eventsourcing.eventstore.Position","Position","axon-eventsourcing-5.1.1",1,2.7054186171101353,5.386852064585355,6.270330651653187,0.8834785870678316,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.1.1",1,2.558568557689432,5.109457567725282,5.479381953151882,0.36992438542659983,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.1.1",1,2.497069663423432,4.993288361531805,8.21975544986525,3.2264670883334445,""
"org.axonframework.common.annotation.Internal","Internal","axon-common-5.1.1",1,2.4166497986769704,4.841378120522023,6.992412980318732,2.1510348597967086,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.1.1",1,2.4123370511515,4.8332314950822255,7.358098503854678,2.524867008772452,""
"org.axonframework.common.StringUtils","StringUtils","axon-common-5.1.1",1,2.292903706393317,4.607626189179019,5.595076049378503,0.9874498601994834,""
