"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling",0,22,166,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot",0,21,166,1,""
"axon-modelling-5.0.1","org.axonframework.modelling.annotation",0,10,166,1,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation.reflection",0,6,166,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.gateway",0,5,166,1,""
"axon-common-5.0.1","org.axonframework.common.lifecycle",0,4,166,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration.reflection",0,3,166,1,""
"axon-test-5.0.1","org.axonframework.test.server",0,2,166,1,""
"axon-test-5.0.1","org.axonframework.test.matchers",3,23,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception",3,19,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation",3,18,126,1,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util",3,12,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation",3,12,126,1,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.query",3,11,126,1,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation",3,10,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay.annotation",3,10,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.annotation",3,7,126,1,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.command",3,6,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.gateway",3,5,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion",3,2,126,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled",1,24,123,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.configuration",1,14,123,1,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.jpa",1,12,123,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.sequencing",1,9,123,1,""
"axon-common-5.0.1","org.axonframework.common.util",1,6,123,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay",1,4,123,1,""
"axon-common-5.0.1","org.axonframework.common.annotation",1,3,123,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.gateway",1,2,123,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core",10,78,122,1,""
"axon-test-5.0.1","org.axonframework.test.fixture",10,31,122,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork",10,16,122,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.retry",10,13,122,1,""
"axon-conversion-5.0.1","org.axonframework.conversion",10,9,122,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.sequencing",10,9,122,1,""
"axon-common-5.0.1","org.axonframework.common.infra",10,8,122,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation",9,50,114,1,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore",9,44,114,1,""
"axon-common-5.0.1","org.axonframework.common",9,31,114,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception",9,19,114,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation",9,18,114,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation",9,12,114,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion",9,2,114,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.conversion",9,2,114,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.gateway",9,2,114,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled",12,24,101,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot",12,21,101,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling",12,18,101,1,""
"axon-modelling-5.0.1","org.axonframework.modelling",12,16,101,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",12,12,101,1,""
"axon-common-5.0.1","org.axonframework.common.jdbc",12,10,101,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.tracing",12,7,101,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.errorhandling",12,3,101,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.conversion",12,2,101,1,""
"axon-test-5.0.1","org.axonframework.test.server",12,2,101,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core",7,78,81,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig",7,33,81,1,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector",7,27,81,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot",7,21,81,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork",7,16,81,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing",7,3,81,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core",15,78,58,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig",15,33,58,1,""
"axon-modelling-5.0.1","org.axonframework.modelling",15,16,58,1,""
"axon-modelling-5.0.1","org.axonframework.modelling.annotation",15,10,58,1,""
"axon-common-5.0.1","org.axonframework.common.util",15,6,58,1,""
"axon-common-5.0.1","org.axonframework.common.annotation",15,3,58,1,""
"axon-common-5.0.1","org.axonframework.common.configuration",14,46,52,1,""
"axon-test-5.0.1","org.axonframework.test.util",14,11,52,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation",8,50,38,1,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore",8,44,38,1,""
"axon-test-5.0.1","org.axonframework.test.matchers",8,23,38,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception",8,19,38,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling",8,18,38,1,""
"axon-modelling-5.0.1","org.axonframework.modelling",8,16,38,1,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.jpa",8,12,38,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay",8,4,38,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot",5,21,28,1,""
"axon-common-5.0.1","org.axonframework.common.annotation",5,3,28,1,""
"axon-modelling-5.0.1","org.axonframework.modelling.repository",13,9,15,1,""
"axon-common-5.0.1","org.axonframework.common",6,31,14,1,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector",6,27,14,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig",19,33,6,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling",0,18,166,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.distributed",0,10,166,2,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.command",0,6,166,2,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing",0,6,166,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.monitoring",0,6,166,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling",3,18,126,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling",3,18,126,2,""
"axon-conversion-5.0.1","org.axonframework.conversion",3,9,126,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.correlation",3,6,126,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.tracing",3,5,126,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay",3,4,126,2,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig",1,33,123,2,""
"axon-common-5.0.1","org.axonframework.common",1,31,123,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception.annotation",1,11,123,2,""
"axon-test-5.0.1","org.axonframework.test",1,4,123,2,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util",9,12,114,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.tracing",9,6,114,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core",12,78,101,2,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig",12,33,101,2,""
"axon-common-5.0.1","org.axonframework.common",12,31,101,2,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation",12,10,101,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token",12,8,101,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventstreaming",7,16,81,2,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util",7,7,81,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation",15,12,58,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.annotation",15,7,58,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration.reflection",15,3,58,2,""
"axon-test-5.0.1","org.axonframework.test",14,4,52,2,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot",17,21,43,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core",2,78,42,2,""
"axon-common-5.0.1","org.axonframework.common",2,31,42,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork",2,16,42,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing",2,3,42,2,""
