"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: Internal_Dependencies/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-tracing-opentelemetry-4.10.3","axon-messaging-4.10.3",3,64,0.046875,"org.axonframework.messaging,org.axonframework.common,org.axonframework.tracing","messaging,common,tracing",""
"axon-server-connector-4.10.3","axon-modelling-4.10.3",1,10,0.1,"org.axonframework.modelling.command","command",""
"axon-spring-boot-autoconfigure-4.10.3","axon-test-4.10.3",1,8,0.125,"org.axonframework.test.server","server",""
"axon-disruptor-4.10.3","axon-messaging-4.10.3",9,64,0.140625,"org.axonframework.commandhandling,org.axonframework.messaging,org.axonframework.common.caching,org.axonframework.common.transaction,org.axonframework.commandhandling.callbacks,org.axonframework.messaging.annotation,org.axonframework.monitoring,org.axonframework.messaging.unitofwork,org.axonframework.common","commandhandling,messaging,caching,transaction,callbacks,annotation,monitoring,unitofwork,common",""
"axon-test-4.10.3","axon-messaging-4.10.3",10,64,0.15625,"org.axonframework.messaging,org.axonframework.messaging.unitofwork,org.axonframework.common,org.axonframework.deadline,org.axonframework.eventhandling,org.axonframework.eventhandling.scheduling,org.axonframework.messaging.annotation,org.axonframework.commandhandling,org.axonframework.commandhandling.gateway,org.axonframework.common.stream","messaging,unitofwork,common,deadline,eventhandling,scheduling,annotation,commandhandling,gateway,stream",""
"axon-eventsourcing-4.10.3","axon-modelling-4.10.3",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-disruptor-4.10.3","axon-modelling-4.10.3",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-disruptor-4.10.3","axon-eventsourcing-4.10.3",2,9,0.2222222222222222,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing","eventstore,eventsourcing",""
"axon-test-4.10.3","axon-eventsourcing-4.10.3",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-modelling-4.10.3","axon-messaging-4.10.3",18,64,0.28125,"org.axonframework.common,org.axonframework.eventhandling,org.axonframework.common.legacyjpa,org.axonframework.messaging.annotation,org.axonframework.common.lock,org.axonframework.tracing,org.axonframework.common.annotation,org.axonframework.common.property,org.axonframework.messaging.unitofwork,org.axonframework.commandhandling,org.axonframework.messaging.interceptors,org.axonframework.messaging,org.axonframework.deadline,org.axonframework.common.jpa,org.axonframework.serialization.xml,org.axonframework.serialization,org.axonframework.common.caching,org.axonframework.common.jdbc","common,eventhandling,legacyjpa,annotation,lock,tracing,property,unitofwork,commandhandling,interceptors,messaging,deadline,jpa,xml,serialization,caching,jdbc",""
"axon-eventsourcing-4.10.3","axon-messaging-4.10.3",20,64,0.3125,"org.axonframework.serialization.upcasting.event,org.axonframework.common,org.axonframework.common.transaction,org.axonframework.eventhandling,org.axonframework.serialization,org.axonframework.common.jdbc,org.axonframework.messaging.unitofwork,org.axonframework.lifecycle,org.axonframework.common.stream,org.axonframework.messaging,org.axonframework.common.io,org.axonframework.monitoring,org.axonframework.serialization.xml,org.axonframework.tracing,org.axonframework.common.jpa,org.axonframework.common.legacyjpa,org.axonframework.common.caching,org.axonframework.messaging.annotation,org.axonframework.common.lock,org.axonframework.commandhandling","event,common,transaction,eventhandling,serialization,jdbc,unitofwork,lifecycle,stream,messaging,io,monitoring,xml,tracing,jpa,legacyjpa,caching,annotation,lock,commandhandling",""
"axon-server-connector-4.10.3","axon-eventsourcing-4.10.3",3,9,0.3333333333333333,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing,org.axonframework.eventsourcing.snapshotting","eventstore,eventsourcing,snapshotting",""
"axon-spring-boot-autoconfigure-4.10.3","axon-server-connector-4.10.3",4,11,0.36363636363636365,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector.query","connector,axon,command,query",""
"axon-server-connector-4.10.3","axon-messaging-4.10.3",25,64,0.390625,"org.axonframework.serialization,org.axonframework.common,org.axonframework.messaging,org.axonframework.messaging.responsetypes,org.axonframework.util,org.axonframework.tracing,org.axonframework.queryhandling,org.axonframework.lifecycle,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.eventhandling,org.axonframework.eventhandling.tokenstore,org.axonframework.commandhandling.distributed,org.axonframework.common.transaction,org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.eventhandling.pooled,org.axonframework.messaging.unitofwork,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling.scheduling.java,org.axonframework.common.jdbc,org.axonframework.monitoring,org.axonframework.eventhandling.scheduling,org.axonframework.common.stream,org.axonframework.eventhandling.async,org.axonframework.serialization.xml","serialization,common,messaging,responsetypes,util,tracing,queryhandling,lifecycle,inmemory,eventhandling,tokenstore,distributed,transaction,commandhandling,callbacks,pooled,unitofwork,event,java,jdbc,monitoring,scheduling,stream,async,xml",""
"axon-configuration-4.10.3","axon-eventsourcing-4.10.3",4,9,0.4444444444444444,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing.eventstore.jpa","eventsourcing,eventstore,snapshotting,jpa",""
