"artifactName","deprecatedElement","numberOfElementsUsingDeprecatedElements","someElementsUsingDeprecatedElements","Source Cypher File: Java/Java_deprecated_element_usage.cypher"
"axon-eventsourcing-5.0.0","Field",1,"org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations.gapTimeoutThreshold",""
"axon-messaging-5.0.0","Class",1,"org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain",""
"axon-messaging-5.0.0","Method",3,"org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain.handle,org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember.handleSync,org.axonframework.messaging.core.annotation.ChainedMessageHandlerInterceptorMember.doHandleSync",""
"axon-messaging-5.0.0","Field",7,"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor.releaseSegment,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$Builder.<init>,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask.lambda$releaseSegmentsIfTooManyClaimed$13,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration.<init>,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$Builder.<init>,org.axonframework.messaging.eventhandling.gateway.EventPublishingUtils.lambda$asEventMessage$0,org.axonframework.messaging.eventhandling.GenericEventMessage.<init>",""
"axon-messaging-5.0.0","Annotation",1,"org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy",""
"axon-modelling-5.0.0","Annotation",2,"org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.entity.annotation.RoutingKeyUtils",""
