"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"jakarta.annotation.Nonnull","Parameter",3375,"org.axonframework.modelling.PropertyBasedEntityIdResolver.<init>(0),org.axonframework.modelling.PropertyBasedEntityIdResolver.resolve(0),org.axonframework.modelling.PropertyBasedEntityIdResolver.resolve(1),org.axonframework.modelling.SimpleEntityEvolvingComponent.<init>(0),org.axonframework.modelling.SimpleEntityEvolvingComponent.evolve(0),org.axonframework.modelling.SimpleEntityEvolvingComponent.evolve(1),org.axonframework.modelling.SimpleEntityEvolvingComponent.evolve(2),org.axonframework.modelling.SimpleEntityEvolvingComponent.describeTo(0),org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver.resolve(0)",""
"jakarta.annotation.Nonnull","Method",832,"org.axonframework.modelling.PropertyBasedEntityIdResolver.resolve,org.axonframework.modelling.SimpleEntityEvolvingComponent.supportedEvents,org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver.resolve,org.axonframework.modelling.annotation.InjectEntityParameterResolver.resolveParameterValue,org.axonframework.modelling.EntityIdResolver.resolve,org.axonframework.modelling.annotation.AnnotationBasedEntityEvolvingComponent.supportedEvents,org.axonframework.modelling.EntityEvolvingComponent.supportedEvents,org.axonframework.modelling.entity.EntityCommandHandlingComponent.handle,org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder.instanceCommandHandler",""
"jakarta.annotation.Nullable","Parameter",399,"org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder.entityEvolver(0),org.axonframework.modelling.entity.ConcreteEntityMetamodel$Builder.entityEvolver(0),org.axonframework.modelling.entity.EntityMetamodelBuilder.entityEvolver(0),org.axonframework.modelling.entity.child.ChildEntityFieldDefinition.evolveParentBasedOnChildInput(1),org.axonframework.modelling.entity.PolymorphicEntityMetamodel$Builder.entityEvolver(0),org.axonframework.modelling.entity.ConcreteEntityMetamodel.<init>(4),org.axonframework.common.StringUtils.capitalize(0),org.axonframework.common.ReflectionUtils.explicitlyUnequal(0),org.axonframework.common.ReflectionUtils.explicitlyUnequal(1)",""
"jakarta.annotation.Nullable","Method",99,"org.axonframework.modelling.annotation.InjectEntityParameterResolverFactory.createInstance,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel.getExpectedRepresentation,org.axonframework.modelling.entity.child.CommandTargetResolver.getTargetChildEntity,org.axonframework.modelling.entity.child.ChildEntityFieldDefinition.getChildValue,org.axonframework.modelling.entity.ConcreteEntityMetamodel.evolve,org.axonframework.common.ReflectionUtils.declaringClass,org.axonframework.common.FutureUtils.joinAndUnwrap,org.axonframework.common.configuration.AbstractComponent.name,org.axonframework.common.configuration.ComponentDefinition.name",""
"org.axonframework.common.annotation.Internal","Class",74,"org.axonframework.modelling.entity.annotation.AbstractEntityChildModelDefinition,org.axonframework.modelling.entity.annotation.RoutingKeyUtils,org.axonframework.modelling.entity.annotation.AnnotatedEntityModelRoutingKeyMatcher,org.axonframework.common.configuration.LazyInitializedComponentDefinition,org.axonframework.common.configuration.InstantiatedComponentDefinition,org.axonframework.common.configuration.Components,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfigurationEnhancer,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory,org.axonframework.messaging.commandhandling.interception.CommandMessageHandlerInterceptorChain",""
"jakarta.annotation.Nonnull","Field",70,"org.axonframework.common.configuration.AbstractComponent$HandlerRegistration.handler,org.axonframework.common.configuration.Component$Identifier.type,org.axonframework.conversion.avro.AvroConverterConfiguration.strategies,org.axonframework.conversion.avro.AvroConverterConfiguration.schemaStore,org.axonframework.conversion.avro.AvroConverterConfiguration.schemaIncompatibilityChecker,org.axonframework.conversion.avro.AvroConverterConfiguration.avroConverterStrategyConfiguration,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration.executorServiceFactory,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.commandConverter,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult.delegate",""
"java.lang.FunctionalInterface","Interface",55,"org.axonframework.modelling.EntityIdResolver,org.axonframework.modelling.annotation.EntityIdResolverDefinition,org.axonframework.modelling.entity.child.CommandTargetResolver,org.axonframework.modelling.entity.annotation.CommandTargetResolverDefinition,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodelFactory,org.axonframework.modelling.EntityEvolver,org.axonframework.modelling.entity.EntityCommandHandler,org.axonframework.modelling.entity.child.EventTargetMatcher,org.axonframework.modelling.configuration.EntityMetamodelConfigurationBuilder",""
"java.lang.annotation.Retention","Annotation",42,"org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.common.annotation.Internal,org.axonframework.common.Priority,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.RoutingKey,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.SequenceNumber",""
"java.lang.annotation.Target","Annotation",42,"org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.common.annotation.Internal,org.axonframework.common.Priority,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.RoutingKey,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.SequenceNumber",""
"org.springframework.context.annotation.Bean","Method",34,"org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurationEnhancer,org.axonframework.extension.springboot.autoconfig.CorrelationDataProviderAutoConfiguration.providerDecorator,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.defaultAxonSchemaStore,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.collectAvroSchemasFromClassPath,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.specificRecordBaseClasspathAvroSchemaLoader,org.axonframework.extension.springboot.autoconfig.InterceptorAutoConfiguration.dispatchInterceptorEnhancer,org.axonframework.extension.springboot.autoconfig.InterceptorAutoConfiguration.handlerInterceptorEnhancer,org.axonframework.extension.springboot.autoconfig.JpaAutoConfiguration.entityManagerProvider",""
