"resolved","extension","gitFileCount","fileLabels","gitFileExamples","Source Cypher File: domains/git-history/queries/statistics/List_git_files_by_resolved_label_and_extension.cypher"
false,"md",1888,"File,Git","CHANGELOG.md,packages/create-react-router/CHANGELOG.md,packages/react-router-architect/CHANGELOG.md,packages/react-router-cloudflare/CHANGELOG.md,packages/react-router-dev/CHANGELOG.md,packages/react-router-dom/CHANGELOG.md,packages/react-router-express/CHANGELOG.md,packages/react-router-fs-routes/CHANGELOG.md,packages/react-router-node/.changes/patch.streaming-client-disconnect.md",""
false,"js",1744,"File,Git","examples/multi-app/inbox/messages.js,examples/multi-app/server.js,examples/multi-app/vite.config.js,examples/notes/src/notes.js,examples/ssr-data-router/server.js,examples/ssr-data-router/vite.config.js,examples/ssr/server.js,examples/ssr/vite.config.js,scripts/constants.js",""
false,"ts",1133,"File,Git","packages/react-router-node/__tests__/stream-test.ts,packages/react-router/__tests__/router/utils/data-router-setup.ts,packages/react-router/__tests__/router/browser-test.ts,packages/react-router/__tests__/router/redirects-test.ts,packages/react-router/__tests__/rsc/server-test.ts,packages/react-router/lib/rsc/redirect.ts,packages/react-router/__tests__/server-runtime/actions-test.ts,integration/rsc-csrf-action-test.ts,scripts/docs.ts",""
false,"tsx",489,"File,Git","packages/react-router/__tests__/external-navigation-test.tsx,packages/react-router/__tests__/useNavigate-test.tsx,packages/react-router/lib/components.tsx,packages/react-router/lib/hooks.tsx,packages/react-router/lib/rsc/browser.tsx,packages/react-router/__tests__/dom/link-href-test.tsx,packages/react-router/lib/dom/lib.tsx,packages/react-router/lib/dom/server.tsx,packages/react-router/lib/rsc/server.ssr.tsx",""
false,"json",272,"File,Git","examples/auth-router-provider/package-lock.json,examples/auth-router-provider/package.json,examples/auth-router-provider/tsconfig.json,examples/auth/package-lock.json,examples/auth/package.json,examples/auth/tsconfig.json,examples/basic-data-router/package-lock.json,examples/basic-data-router/package.json,examples/basic-data-router/tsconfig.json",""
false,"css",85,"File,Git","examples/auth-router-provider/src/index.css,examples/auth/src/index.css,examples/basic-data-router/src/index.css,examples/basic/src/index.css,examples/custom-filter-link/src/index.css,examples/custom-link/src/index.css,examples/custom-query-parsing/src/index.css,examples/data-router/src/index.css,examples/error-boundaries/src/index.css",""
false,"gitignore",83,"File,Git",".gitignore,examples/auth-router-provider/.gitignore,examples/auth/.gitignore,examples/basic-data-router/.gitignore,examples/basic/.gitignore,examples/custom-filter-link/.gitignore,examples/custom-link/.gitignore,examples/custom-query-parsing/.gitignore,examples/data-router/.gitignore",""
false,"html",64,"File,Git","examples/auth-router-provider/index.html,examples/auth/index.html,examples/basic-data-router/index.html,examples/basic/index.html,examples/custom-filter-link/index.html,examples/custom-link/index.html,examples/custom-query-parsing/index.html,examples/data-router/index.html,examples/error-boundaries/index.html",""
false,"ico",50,"File,Git","playground/performance/public/favicon.ico,integration/helpers/vite-rolldown-template/public/favicon.ico,integration/helpers/vite-8-template/public/favicon.ico,playground/framework-rolldown-vite/public/favicon.ico,playground/framework-vite-6/public/favicon.ico,playground/framework/public/favicon.ico,playground/rsc-vite-7-framework/public/favicon.ico,integration/helpers/rsc-parcel/public/favicon.ico,integration/helpers/rsc-parcel-framework/public/favicon.ico",""
false,"yml",44,"File,Git",".github/workflows/release.yml,contributors.yml,.github/workflows/format.yml,.github/ISSUE_TEMPLATE/bug_report.yml,.github/workflows/deduplicate-lock-file.yml,.github/workflows/docs.yml,.github/workflows/integration-full.yml,.github/workflows/preview.yml,.github/workflows/test.yml",""
false,"png",37,"File,Git","templates/basic/public/logo-dark.png,templates/basic/public/logo-light.png,static/base-branch.png,integration/assets/image.png,fixtures/hello-cra/public/logo512.png,fixtures/hello-cra/public/logo192.png,website/modules/logo.png,website/static/apple-touch-icon.png,website/static/android-chrome-144x144.png",""
false,"LICENSE",31,"File,Git","LICENSE,react-builds/16.3.2/node_modules/create-subscription/LICENSE,react-builds/16.3.2/node_modules/react-art/LICENSE,react-builds/16.3.2/node_modules/react-call-return/LICENSE,react-builds/16.3.2/node_modules/react-dom/LICENSE,react-builds/16.3.2/node_modules/react-is/LICENSE,react-builds/16.3.2/node_modules/react-noop-renderer/LICENSE,react-builds/16.3.2/node_modules/react-reconciler/LICENSE,react-builds/16.3.2/node_modules/react-test-renderer/LICENSE",""
false,"snap",30,"File,Git","packages/react-router-native/__tests__/__snapshots__/deep-linking-test.tsx.snap,packages/react-router-native/__tests__/__snapshots__/link-press-test.tsx.snap,packages/react-router-native/__tests__/__snapshots__/search-params-test.tsx.snap,packages/react-router-native/__tests__/__snapshots__/useLinkPressHandler-test.tsx.snap,packages/react-router/__tests__/__snapshots__/route-matching-test.tsx.snap,packages/react-router/__tests__/__snapshots__/descendant-routes-splat-matching-test.tsx.snap,packages/react-router/__tests__/__snapshots__/useOutlet-test.tsx.snap,packages/react-router/__tests__/__snapshots__/useRoutes-test.tsx.snap,packages/react-router/__tests__/__snapshots__/Routes-test.tsx.snap",""
false,"mjs",26,"File,Git","packages/react-router-node/__tests__/fixtures/stream-cancelled-node-readable.mjs,packages/react-router-node/__tests__/fixtures/stream-closed-writable.mjs,packages/react-router-node/__tests__/fixtures/stream-pending-writable-error.mjs,packages/react-router/scripts/copy-docs.mjs,scripts/bench/passthrough-requests.bench.mjs,scripts/remove-prerelease-changelogs.mjs,playground/performance/scripts/bench.mjs,packages/react-router-dev/vite/static/rsc-refresh-utils.mjs,packages/react-router-architect/typedoc.mjs",""
false,"stackblitzrc",26,"File,Git","examples/auth-router-provider/.stackblitzrc,examples/auth/.stackblitzrc,examples/basic-data-router/.stackblitzrc,examples/basic/.stackblitzrc,examples/custom-filter-link/.stackblitzrc,examples/custom-link/.stackblitzrc,examples/custom-query-parsing/.stackblitzrc,examples/data-router/.stackblitzrc,examples/error-boundaries/.stackblitzrc",""
false,"eslintrc",24,"File,Git",".eslintrc,packages/react-router/__tests__/.eslintrc,packages/react-router-dom/.eslintrc,packages/react-router-native/.eslintrc,packages/react-router/.eslintrc,packages/router/.eslintrc,packages/router/__tests__/.eslintrc,packages/remix-server-runtime/__tests__/.eslintrc,packages/react-router/modules/__tests__/.eslintrc",""
false,"jsx",20,"File,Git","examples/multi-app/home/App.jsx,examples/multi-app/home/main.jsx,examples/multi-app/home/no-match.jsx,examples/multi-app/inbox/App.jsx,examples/multi-app/inbox/main.jsx,examples/multi-app/inbox/no-match.jsx,examples/notes/src/app.jsx,examples/notes/src/main.jsx,examples/notes/src/routes/new.jsx",""
false,"sh",14,"File,Git","scripts/changes/release.sh,scripts/finish-stable-release.sh,scripts/start-prerelease.sh,scripts/delete-nightly-tags.sh,scripts/delete-pre-tags.sh,scripts/clean-v6-artifacts.sh,scripts/deploy-website.sh,scripts/release.sh,scripts/publish-website.sh",""
false,"babelrc",12,"File,Git","website/modules/.babelrc,packages/react-router-config/modules/.babelrc,packages/react-router-dom/modules/.babelrc,packages/react-router/modules/.babelrc,packages/react-router-native/.babelrc,packages/react-router-redux/modules/.babelrc,packages/react-router-redux/.babelrc,packages/react-router-website/modules/.babelrc,.babelrc",""
false,"gitkeep",12,"File,Git","packages/create-react-router/.changes/.gitkeep,packages/react-router-architect/.changes/.gitkeep,packages/react-router-cloudflare/.changes/.gitkeep,packages/react-router-dev/.changes/.gitkeep,packages/react-router-dom/.changes/.gitkeep,packages/react-router-express/.changes/.gitkeep,packages/react-router-fs-routes/.changes/.gitkeep,packages/react-router-node/.changes/.gitkeep,packages/react-router-remix-routes-option-adapter/.changes/.gitkeep",""
false,"gz",12,"File,Git","packages/create-react-router/__tests__/fixtures/react-router-repo.tar.gz,packages/create-react-router/__tests__/fixtures/templates-repo.tar.gz,packages/create-react-router/__tests__/fixtures/nested-dir-repo.tar.gz,packages/create-react-router/__tests__/fixtures/template.tar.gz,packages/remix-dev/__tests__/fixtures/examples-main.tar.gz,packages/remix-dev/__tests__/fixtures/nested-dir-repo.tar.gz,packages/remix-dev/__tests__/fixtures/remix-repo.tar.gz,packages/remix-dev/__tests__/fixtures/stack.tar.gz,packages/remix-dev/__tests__/fixtures/arc.tar.gz",""
