"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-5.0.1","AxonFramework-5.0.1","","","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",115,2594,5942,"2025-12-01","2025-12-03","2025-12-03",34,35,33,"fff5f9f26176f13bcd2824e006f71d61da2ac8b1","AxonFramework-5.0.1/update/src/test/resources/META-INF/maven/org.axonframework/axon-modelling/pom.properties",1,1,""
"AxonFramework-5.0.1/.github",".github","AxonFramework-5.0.1","AxonFramework-5.0.1","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",26,16,681,"2025-12-01","2025-12-03","2025-12-03",34,35,34,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-5.0.1/.github/workflows/slack-release-notification.yml",2,1,""
"AxonFramework-5.0.1/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","AxonFramework-5.0.1/.github",".github","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",6,4,55,"2025-08-13","2025-12-03","2025-12-03",34,145,34,"fa509a0b37d60e0d49b0a95686836dc59e5dc146","AxonFramework-5.0.1/.github/ISSUE_TEMPLATE/4_documentation_change.md",3,1,""
"AxonFramework-5.0.1/.github/workflows","workflows","AxonFramework-5.0.1/.github",".github","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",26,8,655,"2025-12-01","2025-12-03","2025-12-03",34,35,34,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-5.0.1/.github/workflows/slack-release-notification.yml",3,1,""
"AxonFramework-5.0.1/.idea",".idea","AxonFramework-5.0.1","AxonFramework-5.0.1","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",5,3,57,"2025-03-14","2025-08-22","2025-12-03",34,297,136,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.1/.idea/inspectionProfiles/Project_Default.xml",2,1,""
"AxonFramework-5.0.1/.idea/copyright","copyright","AxonFramework-5.0.1/.idea",".idea","Steven van Beelen","Allard Buijze",,2,1,22,"2025-01-09","2025-01-09","2025-12-03",34,361,361,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.1/.idea/copyright/Axon_Framework_copyright_template.xml",3,1,""
"AxonFramework-5.0.1/.idea/inspectionProfiles","inspectionProfiles","AxonFramework-5.0.1/.idea",".idea","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",5,1,47,"2025-01-09","2025-08-22","2025-12-03",34,361,136,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.1/.idea/inspectionProfiles/Project_Default.xml",3,1,""
"AxonFramework-5.0.1/.mvn/wrapper",".mvn/wrapper","AxonFramework-5.0.1","AxonFramework-5.0.1","Steven van Beelen","Allard Buijze","Jan Galinski",13,2,90,"2018-07-15","2025-12-03","2025-12-03",34,2731,34,"f89c41adfbfda2656db9987aaa87525f17308740","AxonFramework-5.0.1/.mvn/wrapper/maven-wrapper.properties",3,2,""
"AxonFramework-5.0.1/.run",".run","AxonFramework-5.0.1","AxonFramework-5.0.1","Simon Zambrovski","Steven van Beelen",,2,2,4,"2025-11-28","2025-11-28","2025-12-03",34,38,38,"d8fc2bec2d28e34d962ec532cd114a79cd0c1626","AxonFramework-5.0.1/.run/Example.run.xml",2,1,""
"AxonFramework-5.0.1/axon-5","axon-5","AxonFramework-5.0.1","AxonFramework-5.0.1","Steven van Beelen","Mitchell Herrijgers","Simon Zambrovski",8,9,663,"2024-01-03","2025-11-21","2025-12-03",34,733,45,"ff99ea6ad4081bfbf75e91e533004bd112f36696","AxonFramework-5.0.1/axon-5/reactive-native.md",2,1,""
"AxonFramework-5.0.1/axon-framework-bom","axon-framework-bom","AxonFramework-5.0.1","AxonFramework-5.0.1","Steven van Beelen","Allard Buijze","Simon Zambrovski",4,1,19,"2025-11-17","2025-12-03","2025-12-03",34,49,33,"fbd1ff331f71beea08fe018d000965e68a62b7c5","AxonFramework-5.0.1/axon-framework-bom/pom.xml",2,1,""
"AxonFramework-5.0.1/axon-server-connector/src","axon-server-connector/src","AxonFramework-5.0.1","AxonFramework-5.0.1","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",25,58,863,"2025-11-06","2025-12-03","2025-12-03",34,60,34,"ffa09b102716aa57ebdee51492cc09b076ed9f27","AxonFramework-5.0.1/axon-server-connector/src/test/resources/junit-platform.properties",3,2,""
"AxonFramework-5.0.1/axon-server-connector/src/main","main","AxonFramework-5.0.1/axon-server-connector/src","src","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",16,31,673,"2025-11-06","2025-12-03","2025-12-03",34,60,34,"ff444d0fecd3a54da633c9d7ed396973f6f4f642","AxonFramework-5.0.1/axon-server-connector/src/main/resources/META-INF/services/org.axonframework.common.configuration.ConfigurationEnhancer",4,1,""
"AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","java/org/axonframework/axonserver/connector","AxonFramework-5.0.1/axon-server-connector/src/main","main","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",16,30,663,"2025-11-06","2025-12-03","2025-12-03",34,60,34,"ff444d0fecd3a54da633c9d7ed396973f6f4f642","AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/util/ProcessingInstructionUtils.java",9,5,""
"AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/command","command","AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","connector","Steven van Beelen","Simon Zambrovski","Mitchell Herrijgers",8,2,109,"2025-08-15","2025-11-21","2025-12-03",34,143,45,"fdddb8b6ce37c30237b25549ddefec5a1871a040","AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/command/CommandConverter.java",10,1,""
"AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/event","event","AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","connector","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",8,10,344,"2025-10-21","2025-11-11","2025-12-03",34,77,55,"ff444d0fecd3a54da633c9d7ed396973f6f4f642","AxonFramework-5.0.1/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/event/TaggedEventConverter.java",10,1,""
