"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-7.11.0","config",4,0,5,0,""
"react-router-7.11.0","invariant",1,0,0,0,""
"react-router-7.11.0","manifest",2,0,2,0,""
"react-router-7.11.0","routes",8,0,9,0,""
"react-router-7.11.0","vite",2,0,0,0,""
"react-router-7.11.0","commands",5,0,5,15,""
"react-router-7.11.0","detectPackageManager",1,0,1,1,""
"react-router-7.11.0","run",1,0,0,9,""
"react-router-7.11.0","useJavascript",1,0,1,6,""
"react-router-7.11.0","config",12,0,16,37,""
"react-router-7.11.0","format",4,0,1,0,""
"react-router-7.11.0","is-react-router-repo",1,0,2,5,""
"react-router-7.11.0","routes",15,0,25,28,""
"react-router-7.11.0","context",2,0,3,0,""
"react-router-7.11.0","generate",5,0,5,24,""
"react-router-7.11.0","typegen",3,0,4,10,""
"react-router-7.11.0","params",1,0,1,0,""
"react-router-7.11.0","route",2,0,2,0,""
"react-router-7.11.0","babel",2,0,8,1,""
"react-router-7.11.0","build",2,0,1,8,""
"react-router-7.11.0","cache",2,0,3,0,""
"react-router-7.11.0","cloudflare-dev-proxy",1,0,1,16,""
"react-router-7.11.0","cloudflare",1,0,0,0,""
"react-router-7.11.0","combine-urls",1,0,1,0,""
"react-router-7.11.0","dev",2,0,1,11,""
"react-router-7.11.0","has-dependency",1,0,2,1,""
"react-router-7.11.0","has-rsc-plugin",1,0,2,3,""
"react-router-7.11.0","load-dotenv",1,0,2,4,""
"react-router-7.11.0","node-adapter",2,0,2,6,""
"react-router-7.11.0","optimize-deps-entries",1,0,2,3,""
"react-router-7.11.0","plugin",17,0,9,151,""
"react-router-7.11.0","profiler",3,0,5,9,""
"react-router-7.11.0","remove-exports",1,0,2,30,""
"react-router-7.11.0","resolve-file-url",1,0,2,5,""
"react-router-7.11.0","resolve-relative-route-file-path",1,0,2,3,""
"react-router-7.11.0","route-chunks",12,0,8,310,""
"react-router-7.11.0","ssr-externals",1,0,2,0,""
"react-router-7.11.0","styles",4,0,3,22,""
"react-router-7.11.0","virtual-module",1,0,2,0,""
"react-router-7.11.0","vite-node",2,0,2,13,""
"react-router-7.11.0","vite",2,0,15,5,""
"react-router-7.11.0","with-props",1,0,1,29,""
"react-router-7.11.0","validate-plugin-order",1,0,2,3,""
"react-router-7.11.0","warn-on-client-source-maps",1,0,2,12,""
"react-router-7.11.0","plugin",1,0,1,54,""
"react-router-7.11.0","virtual-route-config",1,0,1,4,""
"react-router-7.11.0","virtual-route-modules",4,0,4,6,""
"react-router-7.11.0","dom-export",7,0,19,0,""
"react-router-7.11.0","react-router",5,0,9,4,""
"react-router-7.11.0","react-router",39,0,110,4,""
"react-router-7.11.0","react-router",167,0,361,13,""
"react-router-7.11.0","context",27,0,25,12,""
"react-router-7.11.0","errors",4,0,2,0,""
"react-router-7.11.0","href",1,0,2,0,""
"react-router-7.11.0","dom",14,0,6,0,""
"react-router-7.11.0","global",2,0,0,0,""
"react-router-7.11.0","data",1,0,0,0,""
"react-router-7.11.0","entry",5,0,11,0,""
"react-router-7.11.0","errors",1,0,1,0,""
"react-router-7.11.0","fog-of-war",6,0,3,5,""
