"projectName","shortCodeUnitName","codeUnitName","nodeEmbeddingTop3SHAPValueSum","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeBridge.cypher"
"axon-messaging-5.1.0","OrEventCriteria","org.axonframework.messaging.eventstreaming.OrEventCriteria",-0.8186500193539451,1,""
"axon-messaging-5.1.0","OrEventCriteriaBuilder","org.axonframework.messaging.eventstreaming.OrEventCriteriaBuilder",-0.813625726801891,2,""
"axon-common-5.1.0","JCacheAdapter","org.axonframework.common.caching.JCacheAdapter",-0.8103923587674443,3,""
"axon-messaging-5.1.0","EventTypeRestrictableOrEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableOrEventCriteria",-0.7943009750488688,4,""
"axon-messaging-5.1.0","EventTypeRestrictableEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria",-0.7833879490935299,5,""
"axon-messaging-5.1.0","AnyEvent","org.axonframework.messaging.eventstreaming.AnyEvent",-0.7736757105602394,6,""
"axon-common-5.1.0","EhCacheAdapter","org.axonframework.common.caching.EhCacheAdapter",-0.7732242353124941,7,""
"axon-common-5.1.0","Cache","org.axonframework.common.caching.Cache",-0.7352300220111329,8,""
"axon-modelling-5.1.0","EntityModule","org.axonframework.modelling.configuration.EntityModule",-0.6189635003792897,9,""
"axoniq-spring-boot-autoconfigure-5.1.0","DeadLetterQueueAutoConfiguration","io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration",-0.6109510136027209,10,""
