"projectName","shortCodeUnitName","codeUnitName","anomalyRank","anomalyScore","bridgeRank","outlierRank","degreeRank","topFeature1","topFeature2","topFeature3","topFeature1Score","topFeature2Score","topFeature3Score","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionTopAnomalies.cypher"
"axon-messaging-5.1.0","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",1,0.10009635720570004,0,0,46,"pageRank","articleRank","pageToArticleRankDifference",-0.1979029600665731,-0.1937387189380033,-0.1603105395189725,""
"axon-common-5.1.0","TypeReference","org.axonframework.common.TypeReference",2,0.09563059895886045,0,0,89,"articleRank","pageRank","pageToArticleRankDifference",-0.1963131902772358,-0.18979949299709678,-0.17314615767486277,""
"axon-messaging-5.1.0","Message","org.axonframework.messaging.core.Message",3,0.08902238985557615,0,0,44,"pageRank","articleRank","pageToArticleRankDifference",-0.19442199356243994,-0.192963982589382,-0.1619732916534058,""
"axon-conversion-5.1.0","Converter","org.axonframework.conversion.Converter",4,0.07605536683494313,0,0,85,"pageRank","articleRank","pageToArticleRankDifference",-0.20323677621103453,-0.19890901031284866,-0.17818634861742036,""
"axon-messaging-5.1.0","MessageStream","org.axonframework.messaging.core.MessageStream",5,0.07402641218319245,0,0,62,"articleRank","pageRank","pageToArticleRankDifference",-0.21633870521685555,-0.20379119219745373,-0.14407344091111934,""
"axon-messaging-5.1.0","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",6,0.07267626118485232,0,0,64,"articleRank","pageRank","pageToArticleRankDifference",-0.20972339245872257,-0.19828013001390846,-0.15531650669326946,""
"axon-common-5.1.0","DescribableComponent","org.axonframework.common.infra.DescribableComponent",7,0.07136812950966992,0,0,90,"pageRank","articleRank","pageToArticleRankDifference",-0.1974948839595572,-0.19119715318682404,-0.17741838961113074,""
"axon-common-5.1.0","Internal","org.axonframework.common.annotation.Internal",8,0.06755691322331286,0,0,62,"articleRank","pageRank","pageToArticleRankDifference",-0.20027072257379894,-0.19191731542589044,-0.1726045880715105,""
"axon-messaging-5.1.0","EventCriteria","org.axonframework.messaging.eventstreaming.EventCriteria",9,0.06119071766420231,0,0,98,"articleRank","pageRank","pageToArticleRankDifference",-0.21929135876942632,-0.17393288653948788,-0.12951195623209022,""
"axon-common-5.1.0","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",10,0.06114780205942588,0,0,74,"pageRank","articleRank","pageToArticleRankDifference",-0.2070711895251064,-0.1952715732340795,-0.17626164545755194,""
