"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-common-5.1.0","Registration","org.axonframework.common.Registration",1,0.8740919097262531,1,""
"axon-common-5.1.0","ComponentDecorator","org.axonframework.common.configuration.ComponentDecorator",1,0.8443618133872903,2,""
"axon-conversion-5.1.0","GenericRecordToByteArrayConverter","org.axonframework.conversion.avro.GenericRecordToByteArrayConverter",1,0.7742717782794888,3,""
"axon-messaging-5.1.0","DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition","org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition",1,0.7134346256215189,4,""
"axon-messaging-5.1.0","GlobalSequenceTrackingToken","org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken",1,0.6776417423583857,5,""
"axon-common-5.1.0","LifecycleRegistry","org.axonframework.common.configuration.LifecycleRegistry",1,0.6556933668655407,6,""
"axon-modelling-5.1.0","FieldChildEntityFieldDefinition","org.axonframework.modelling.entity.child.FieldChildEntityFieldDefinition",1,0.6537412371000151,7,""
"axon-common-5.1.0","JdbcUtils$SqlFunction","org.axonframework.common.jdbc.JdbcUtils$SqlFunction",1,0.6061051100160896,8,""
"axon-update-5.1.0","KotlinVersion","org.axonframework.update.detection.KotlinVersion",1,0.5891163570601656,9,""
"axon-common-5.1.0","NullLockFactory","org.axonframework.common.lock.NullLockFactory",1,0.5647542665897637,10,""
