"artifactName","dependentArtifactName","fullPackageName","fullDependentPackageName","dependentTypes","dependentPackageTypes","typeUsagePercentage","dependentTypeNameExamples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/How_many_classes_compared_to_all_existing_in_the_same_package_are_used_by_dependent_packages_across_different_artifacts.cypher"
"axon-modelling-5.1.1","axon-messaging-5.1.1","org.axonframework.modelling.repository","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.Context$ResourceKey",""
"axon-eventsourcing-5.1.1","axon-messaging-5.1.1","org.axonframework.eventsourcing","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.Context$ResourceKey",""
"axon-eventsourcing-5.1.1","axon-messaging-5.1.1","org.axonframework.eventsourcing.snapshot.inmemory","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.QualifiedName",""
"axon-server-connector-5.1.1","axon-messaging-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.QualifiedName",""
"axon-eventsourcing-5.1.1","axon-messaging-5.1.1","org.axonframework.eventsourcing.snapshot.store","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.QualifiedName",""
"axon-test-5.1.1","axon-messaging-5.1.1","org.axonframework.test.matchers","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.Message",""
"axon-eventsourcing-5.1.1","axon-messaging-5.1.1","org.axonframework.eventsourcing.configuration","org.axonframework.messaging.core.annotation",1,53,0.0189,"org.axonframework.messaging.core.annotation.ParameterResolverFactory",""
"axon-eventsourcing-5.1.1","axon-common-5.1.1","org.axonframework.eventsourcing.annotation","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-eventsourcing-5.1.1","axon-common-5.1.1","org.axonframework.eventsourcing.annotation.reflection","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-modelling-5.1.1","axon-common-5.1.1","org.axonframework.modelling.entity.annotation","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.core","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.core.unitofwork","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.ComponentNotFoundException",""
"axon-server-connector-5.1.1","axon-eventsourcing-5.1.1","io.axoniq.framework.axonserver.connector.configuration","org.axonframework.eventsourcing.eventstore",1,51,0.0196,"org.axonframework.eventsourcing.eventstore.EventStorageEngine",""
"axon-server-connector-5.1.1","axon-eventsourcing-5.1.1","io.axoniq.framework.axonserver.connector.shared","org.axonframework.eventsourcing.eventstore",1,51,0.0196,"org.axonframework.eventsourcing.eventstore.EventStoreException",""
"axon-eventsourcing-5.1.1","axon-messaging-5.1.1","org.axonframework.eventsourcing.configuration","org.axonframework.messaging.core",2,87,0.023,"org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.MessageType",""
"axon-tracing-opentelemetry-5.1.1","axon-messaging-5.1.1","org.axonframework.extension.tracing.opentelemetry","org.axonframework.messaging.core",2,87,0.023,"org.axonframework.messaging.core.Metadata,org.axonframework.messaging.core.Message",""
"axon-server-connector-5.1.1","axon-messaging-5.1.1","io.axoniq.framework.axonserver.connector.shared","org.axonframework.messaging.core",2,87,0.023,"org.axonframework.messaging.core.HandlerExecutionException,org.axonframework.messaging.core.EventPublicationFailedException",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","org.axonframework.common",1,34,0.0294,"org.axonframework.common.Assert",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.eventstreaming","org.axonframework.common",1,34,0.0294,"org.axonframework.common.Assert",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.monitoring","org.axonframework.common",1,34,0.0294,"org.axonframework.common.Assert",""
"axon-modelling-5.1.1","axon-common-5.1.1","org.axonframework.modelling.repository","org.axonframework.common",1,34,0.0294,"org.axonframework.common.FutureUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.queryhandling.configuration","org.axonframework.common",1,34,0.0294,"org.axonframework.common.FutureUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.commandhandling.retry","org.axonframework.common",1,34,0.0294,"org.axonframework.common.FutureUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.commandhandling.configuration","org.axonframework.common",1,34,0.0294,"org.axonframework.common.FutureUtils",""
"axon-server-connector-5.1.1","axon-common-5.1.1","io.axoniq.framework.axonserver.connector.configuration","org.axonframework.common",1,34,0.0294,"org.axonframework.common.FutureUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.eventhandling.gateway","org.axonframework.common",1,34,0.0294,"org.axonframework.common.FutureUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.commandhandling.interception","org.axonframework.common",1,34,0.0294,"org.axonframework.common.FutureUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.commandhandling.tracing","org.axonframework.common",1,34,0.0294,"org.axonframework.common.BuilderUtils",""
"axon-tracing-opentelemetry-5.1.1","axon-common-5.1.1","org.axonframework.extension.tracing.opentelemetry","org.axonframework.common",1,34,0.0294,"org.axonframework.common.BuilderUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.core.sequencing","org.axonframework.common",1,34,0.0294,"org.axonframework.common.BuilderUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.eventhandling.tracing","org.axonframework.common",1,34,0.0294,"org.axonframework.common.BuilderUtils",""
"axon-conversion-5.1.1","axon-common-5.1.1","org.axonframework.conversion.avro","org.axonframework.common",1,34,0.0294,"org.axonframework.common.BuilderUtils",""
"axon-messaging-5.1.1","axon-common-5.1.1","org.axonframework.messaging.queryhandling.tracing","org.axonframework.common",1,34,0.0294,"org.axonframework.common.BuilderUtils",""
