modulePath,moduleName,Function,TypeAlias,Interface,Variable,Class,Enum
index.ts,react-router,13.924050632911392,40.50632911392405,30.37974683544304,12.025316455696203,1.89873417721519,1.2658227848101267
lib/router/utils.ts,utils,24.444444444444443,32.22222222222222,26.666666666666668,12.222222222222221,3.3333333333333335,1.1111111111111112
index-react-server.ts,react-router,27.77777777777778,41.66666666666667,11.11111111111111,16.666666666666664,2.7777777777777777,0.0
lib/router/router.ts,router,23.52941176470588,32.35294117647059,29.411764705882355,14.705882352941178,0.0,0.0
utils.ts,utils,85.71428571428571,0.0,0.0,14.285714285714285,0.0,0.0
lib/router/history.ts,history,36.0,24.0,36.0,0.0,0.0,4.0
vendor/turbo-stream-v2/utils.ts,utils,4.0,8.0,8.0,76.0,4.0,0.0
lib/rsc/server.rsc.ts,server,17.391304347826086,65.21739130434783,0.0,17.391304347826086,0.0,0.0
lib/dom/ssr/routeModules.ts,routeModules,4.761904761904762,57.14285714285714,38.095238095238095,0.0,0.0,0.0
lib/context.ts,context,5.263157894736842,10.526315789473683,21.052631578947366,63.1578947368421,0.0,0.0
vite/plugin.ts,plugin,58.82352941176471,23.52941176470588,5.88235294117647,11.76470588235294,0.0,0.0
config/routes.ts,routes,60.0,6.666666666666667,20.0,13.333333333333334,0.0,0.0
config/config.ts,config,42.857142857142854,50.0,0.0,7.142857142857142,0.0,0.0
lib/dom/dom.ts,dom,57.14285714285714,21.428571428571427,14.285714285714285,7.142857142857142,0.0,0.0
vite/route-chunks.ts,route-chunks,69.23076923076923,15.384615384615385,0.0,15.384615384615385,0.0,0.0
flatRoutes.ts,flatRoutes,53.84615384615385,0.0,0.0,46.15384615384615,0.0,0.0
lib/server-runtime/sessions.ts,sessions,18.181818181818183,27.27272727272727,36.36363636363637,18.181818181818183,0.0,0.0
lib/router/instrumentation.ts,instrumentation,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0
routes.ts,routes,75.0,12.5,12.5,0.0,0.0,0.0
lib/server-runtime/single-fetch.ts,single-fetch,75.0,12.5,0.0,12.5,0.0,0.0
lib/dom/ssr/links.ts,links,87.5,12.5,0.0,0.0,0.0,0.0
dom-export.ts,dom-export,14.285714285714285,85.71428571428571,0.0,0.0,0.0,0.0
lib/dom/ssr/fog-of-war.ts,fog-of-war,85.71428571428571,0.0,0.0,14.285714285714285,0.0,0.0
index.ts,react-router-node,71.42857142857143,0.0,14.285714285714285,14.285714285714285,0.0,0.0
lib/types/route-data.ts,route-data,0.0,100.0,0.0,0.0,0.0,0.0
index.ts,react-router-cloudflare,50.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0
vite/plugins/prerender.ts,prerender,16.666666666666664,33.33333333333333,50.0,0.0,0.0,0.0
lib/types/utils.ts,utils,0.0,100.0,0.0,0.0,0.0,0.0
lib/server-runtime/cookies.ts,cookies,0.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0
server.ts,server,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0
server.ts,server,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0
lib/server-runtime/errors.ts,errors,80.0,20.0,0.0,0.0,0.0,0.0
worker.ts,worker,40.0,40.0,20.0,0.0,0.0,0.0
typegen/generate.ts,generate,80.0,20.0,0.0,0.0,0.0,0.0
cli/commands.ts,commands,100.0,0.0,0.0,0.0,0.0,0.0
lib/server-runtime/build.ts,build,0.0,0.0,100.0,0.0,0.0,0.0
lib/dom/ssr/entry.ts,entry,0.0,20.0,80.0,0.0,0.0,0.0
lib/errors.ts,errors,100.0,0.0,0.0,0.0,0.0,0.0
lib/types/register.ts,register,0.0,75.0,25.0,0.0,0.0,0.0
vite/vite.ts,vite,100.0,0.0,0.0,0.0,0.0,0.0
vite/styles.ts,styles,0.0,0.0,0.0,100.0,0.0,0.0
config.ts,config,0.0,100.0,0.0,0.0,0.0,0.0
config/format.ts,format,75.0,25.0,0.0,0.0,0.0,0.0
index.ts,react-router-architect,50.0,50.0,0.0,0.0,0.0,0.0
stream.ts,stream,75.0,0.0,0.0,25.0,0.0,0.0
typegen/index.ts,typegen,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0
index.ts,react-router-express,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0
vite/profiler.ts,profiler,0.0,0.0,0.0,100.0,0.0,0.0
vite/rsc/virtual-route-modules.ts,virtual-route-modules,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0
manifest.ts,manifest,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0
defineRoutes.ts,defineRoutes,0.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0
prompts-select.ts,prompts-select,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0
prompts-confirm.ts,prompts-confirm,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0
lib/server-runtime/dev.ts,dev,100.0,0.0,0.0,0.0,0.0,0.0
lib/server-runtime/routes.ts,routes,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,0.0
lib/server-runtime/server.ts,server,0.0,66.66666666666666,0.0,33.33333333333333,0.0,0.0
manifest.ts,manifest,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0
lib/router/links.ts,links,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0
prompts-text.ts,prompts-text,0.0,0.0,50.0,0.0,50.0,0.0
lib/server-runtime/routeMatching.ts,routeMatching,50.0,0.0,50.0,0.0,0.0,0.0
vendor/turbo-stream-v2/turbo-stream.ts,turbo-stream,100.0,0.0,0.0,0.0,0.0,0.0
lib/types/internal.ts,internal,0.0,100.0,0.0,0.0,0.0,0.0
prompts-prompt-base.ts,prompts-prompt-base,0.0,0.0,50.0,0.0,50.0,0.0
prompts-multi-select.ts,prompts-multi-select,0.0,0.0,50.0,0.0,50.0,0.0
copy-template.ts,copy-template,50.0,0.0,0.0,0.0,50.0,0.0
index.ts,create-react-router,50.0,0.0,50.0,0.0,0.0,0.0
vite/node-adapter.ts,node-adapter,50.0,50.0,0.0,0.0,0.0,0.0
vite/vite-node.ts,vite-node,50.0,50.0,0.0,0.0,0.0,0.0
vite/cache.ts,cache,50.0,50.0,0.0,0.0,0.0,0.0
vite/dev.ts,dev,50.0,0.0,50.0,0.0,0.0,0.0
vite/build.ts,build,50.0,0.0,50.0,0.0,0.0,0.0
manifest.ts,manifest,0.0,100.0,0.0,0.0,0.0,0.0
vite.ts,vite,50.0,0.0,0.0,50.0,0.0,0.0
typegen/route.ts,route,100.0,0.0,0.0,0.0,0.0,0.0
typegen/context.ts,context,50.0,50.0,0.0,0.0,0.0,0.0
lib/server-runtime/headers.ts,headers,100.0,0.0,0.0,0.0,0.0,0.0
sessions/fileStorage.ts,fileStorage,100.0,0.0,0.0,0.0,0.0,0.0
lib/dom/global.ts,global,0.0,50.0,50.0,0.0,0.0,0.0
lib/types/future.ts,future,0.0,50.0,50.0,0.0,0.0,0.0
lib/server-runtime/mode.ts,mode,50.0,0.0,0.0,0.0,0.0,50.0
lib/server-runtime/serverHandoff.ts,serverHandoff,50.0,50.0,0.0,0.0,0.0,0.0
lib/server-runtime/data.ts,data,50.0,0.0,50.0,0.0,0.0,0.0
lib/server-runtime/crypto.ts,crypto,0.0,0.0,0.0,100.0,0.0,0.0
server.ts,server,50.0,0.0,50.0,0.0,0.0,0.0
lib/rsc/route-modules.ts,route-modules,100.0,0.0,0.0,0.0,0.0,0.0
vite/babel.ts,babel,0.0,0.0,0.0,100.0,0.0,0.0
loading-indicator.ts,loading-indicator,100.0,0.0,0.0,0.0,0.0,0.0
binaryTypes.ts,binaryTypes,100.0,0.0,0.0,0.0,0.0,0.0
prompt.ts,prompt,100.0,0.0,0.0,0.0,0.0,0.0
vite/load-dotenv.ts,load-dotenv,100.0,0.0,0.0,0.0,0.0,0.0
vite/plugins/validate-plugin-order.ts,validate-plugin-order,100.0,0.0,0.0,0.0,0.0,0.0
invariant.ts,invariant,100.0,0.0,0.0,0.0,0.0,0.0
config/is-react-router-repo.ts,is-react-router-repo,100.0,0.0,0.0,0.0,0.0,0.0
cli/useJavascript.ts,useJavascript,100.0,0.0,0.0,0.0,0.0,0.0
typegen/params.ts,params,100.0,0.0,0.0,0.0,0.0,0.0
sessions/workersKVStorage.ts,workersKVStorage,100.0,0.0,0.0,0.0,0.0,0.0
sessions/arcTableSessionStorage.ts,arcTableSessionStorage,100.0,0.0,0.0,0.0,0.0,0.0
cli/detectPackageManager.ts,detectPackageManager,0.0,0.0,0.0,100.0,0.0,0.0
cli/run.ts,run,100.0,0.0,0.0,0.0,0.0,0.0
vite/cloudflare-dev-proxy.ts,cloudflare-dev-proxy,0.0,0.0,0.0,100.0,0.0,0.0
vite/cloudflare.ts,cloudflare,0.0,0.0,0.0,100.0,0.0,0.0
vite/combine-urls.ts,combine-urls,100.0,0.0,0.0,0.0,0.0,0.0
vite/remove-exports.ts,remove-exports,0.0,0.0,0.0,100.0,0.0,0.0
vite/resolve-relative-route-file-path.ts,resolve-relative-route-file-path,100.0,0.0,0.0,0.0,0.0,0.0
