"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"StronglyConnectedComponent,ModuleMembers","IN_WEAKLY_CONNECTED_COMPONENT","ModuleMembers,WeaklyConnectedComponent",91,""
"TS,FunctionParameter","OF_TYPE","TS,Union",90,""
"Value,TS,Function","OF_TYPE","TS,Function",88,""
"Value,TS,Member","PARENT","Value,TS,Declared",88,""
"Value,TS,Complex","OF_TYPE","TS,NotIdentified",83,""
"TS,Class","DECLARES","TS,Property",82,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,TypeParameterReference",80,""
"TS,Variable","INITIALIZED_WITH","Value,TS,Function",80,""
"Git,Change,Copy","CREATES","Git",80,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Copy",80,""
"Git,Change,Copy","MODIFIES","Git",80,""
"Git,Change,Copy","COPIES","Git",80,""
"TS,Property","OF_TYPE","TS,Declared",78,""
"TS,Class","DECLARES","TS,Method",75,""
"Value,TS,Member","OF_TYPE","TS,Declared",75,""
"TS,Local,Module","DECLARES","TS,Function",72,""
"TS,TypeParameter","CONSTRAINED_BY","TS,Declared",71,""
"TS,Union","CONTAINS","TS,Function",70,""
"TS,Property","DEPENDS_ON","TS,Local,Module",70,""
"TS,Variable","OF_TYPE","TS,Function",68,""
"TS,TypeAlias","DEPENDS_ON","TS,Interface",68,""
"Package,Json,NPM,NpmNonDevPackage","DECLARES_DEV_DEPENDENCY","NPM,Dependency",66,""
"TS,Variable","INITIALIZED_WITH","Value,TS,Complex",65,""
"TS,Local,Module","DEPENDS_ON","TS,TypeAlias",64,""
"TS,Local,Module","EXPORTS","TS,TypeAlias",64,""
"TS,Interface","DEPENDS_ON","TS,TypeAlias",61,""
"TS,Function","RETURNS","TS,Union",60,""
"TS,Function","DECLARES","TS,TypeParameter",57,""
"TS,Property","DEPENDS_ON","TS,Interface",57,""
"Package,Json,NPM","CONTAINS","Json,Value,Object",56,""
"Git","RESOLVES_TO","Package,Json,NPM",56,""
"TS,Declared","HAS_TYPE_ARGUMENT","Object,TS",54,""
"TS,Variable","DEPENDS_ON","TS,TypeAlias",54,""
"TS,TypeAlias","DEPENDS_ON","TS,Local,Module",53,""
"TS,Interface","DECLARES","TS,Method",52,""
"Value,TS,ObjectMember","REFERENCES","Value,TS,Call",52,""
"TS,Local,Module","DECLARES","TS,TypeAlias",52,""
"Package,Json,NPM","CHANGED_TOGETHER_WITH","Package,Json,NPM,NpmNonDevPackage",52,""
"TS,Union","CONTAINS","TS,Intersection",51,""
"TS,FunctionParameter","OF_TYPE","TS,Function",51,""
"TS,Local,Module","DECLARES","TS,Function",51,""
"Value,TS,Call","CALLS","Value,TS,Member",50,""
"Value,TS,Call","CALLS","Value,TS,Declared",49,""
"TS,Function","DEPENDS_ON","TS,Class",49,""
"Value,TS,Declared","REFERENCES","TS,Function",48,""
"TS,Local,Module","DEPENDS_ON","TS,Interface",48,""
"TS,Local,Module","EXPORTS","TS,Interface",48,""
"TS,Variable","OF_TYPE","TS,Literal",47,""
"TS,Function","RETURNS","TS,Union",45,""
"Value,TS,Call","OF_TYPE","TS,Declared",44,""
"Value,TS,Declared","REFERENCES","TS,ExternalDeclaration",44,""
"Git","COPY_OF","Git",44,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,NotIdentified",43,""
"TS,Function","DEPENDS_ON","TS,Local,Module",43,""
"Directory,Local","CONTAINS","Directory,Local",42,""
