"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling",0,22,173,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.entity.annotation",0,18,173,1,""
"axon-modelling-5.1.1","org.axonframework.modelling",0,16,173,1,""
"axon-conversion-5.1.1","org.axonframework.conversion",0,11,173,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.annotation",0,10,173,1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot",0,6,173,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation.reflection",0,6,173,1,""
"axon-common-5.1.1","org.axonframework.common.lifecycle",0,4,173,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.configuration.reflection",0,3,173,1,""
"axon-test-5.1.1","org.axonframework.test.matchers",3,23,164,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception",3,21,164,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling",3,17,164,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation",3,11,164,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util",3,10,164,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.gateway",3,5,164,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.monitoring.interception",3,5,164,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command",3,3,164,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.conversion",3,2,164,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.gateway",3,2,164,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled",2,25,103,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.annotation",2,17,103,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.configuration",2,14,103,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.sequencing",2,11,103,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.annotation",2,10,103,1,""
"axon-common-5.1.1","org.axonframework.common.infra",2,8,103,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.interception",2,6,103,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.gateway",2,2,103,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core",11,85,92,1,""
"axon-test-5.1.1","org.axonframework.test.fixture",11,32,92,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.retry",11,13,92,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.monitoring.interception",11,5,92,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core",6,85,86,1,""
"axon-common-5.1.1","org.axonframework.common",1,31,86,1,""
"axon-test-5.1.1","org.axonframework.test.matchers",6,23,86,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.configuration",1,14,86,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.entity.child",6,14,86,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.jpa",6,12,86,1,""
"axon-common-5.1.1","org.axonframework.common.util",6,5,86,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.api",1,5,86,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core",13,85,69,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork",13,15,69,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction",13,5,69,1,""
"axon-common-5.1.1","org.axonframework.common.function",13,2,69,1,""
"axon-common-5.1.1","org.axonframework.common.configuration",10,50,68,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled",10,25,68,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling",10,17,68,1,""
"axon-modelling-5.1.1","org.axonframework.modelling",10,16,68,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",10,14,68,1,""
"axon-test-5.1.1","org.axonframework.test.util",10,11,68,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.tracing",10,7,68,1,""
"axon-test-5.1.1","org.axonframework.test",10,4,68,1,""
"axon-test-5.1.1","org.axonframework.test.extension",10,4,68,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.conversion",10,2,68,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore",4,50,61,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception",4,21,61,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling",4,17,61,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event",4,14,61,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.interception",4,8,61,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core",16,85,56,1,""
"axon-modelling-5.1.1","org.axonframework.modelling",16,16,56,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.annotation",16,10,56,1,""
"axon-common-5.1.1","org.axonframework.common.util",16,5,56,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.entity.annotation",9,18,51,1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot",9,6,51,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing",9,3,51,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.conversion",9,2,51,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.conversion",9,2,51,1,""
"axon-common-5.1.1","org.axonframework.common",8,31,43,1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig",8,8,43,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.annotation",5,52,36,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore",5,50,36,1,""
"axon-test-5.1.1","org.axonframework.test.matchers",5,23,36,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling",5,22,36,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception",5,21,36,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling",5,17,36,1,""
"axon-modelling-5.1.1","org.axonframework.modelling",5,16,36,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api",5,12,36,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.jpa",5,12,36,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay",5,11,36,1,""
"axon-common-5.1.1","org.axonframework.common.annotation",7,5,30,1,""
"axon-common-5.1.1","org.axonframework.common.function",7,2,30,1,""
"axon-common-5.1.1","org.axonframework.common",12,31,13,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling",0,18,173,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.configuration",0,14,173,2,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig",0,8,173,2,""
"axon-common-5.1.1","org.axonframework.common.annotation",0,5,173,2,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore",3,50,164,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling",3,18,164,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.annotation",3,17,164,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.annotation",3,11,164,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query",3,8,164,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.shared",3,7,164,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.correlation",3,6,164,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.tracing",3,5,164,2,""
"axon-common-5.1.1","org.axonframework.common",2,31,103,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception.annotation",2,11,103,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.annotation",11,11,92,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.sequencing",11,11,92,2,""
"axon-common-5.1.1","org.axonframework.common.jdbc",1,12,86,2,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation",1,11,86,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token",1,8,86,2,""
"axon-common-5.1.1","org.axonframework.common.annotation",6,5,86,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.configuration.reflection",6,3,86,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventstreaming",13,16,69,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction.jpa",13,5,69,2,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig",10,8,68,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query",4,8,61,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.annotation",16,11,56,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.annotation",16,7,56,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command",9,3,51,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core",8,85,43,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling",8,17,43,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing",8,3,43,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling",5,18,36,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.retry",5,13,36,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util",15,10,5,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.monitoring.interception",0,5,173,3,""
"axon-common-5.1.1","org.axonframework.common",3,31,164,3,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer",3,11,164,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception.annotation",3,11,164,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.annotation",2,52,103,3,""
"axon-test-5.1.1","org.axonframework.test.fixture",2,32,103,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling",2,22,103,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction.jpa",2,5,103,3,""
"axon-test-5.1.1","org.axonframework.test.util",11,11,92,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.tracing",11,5,92,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay.annotation",6,11,86,3,""
"axon-modelling-5.1.1","org.axonframework.modelling.annotation",6,10,86,3,""
"axon-test-5.1.1","org.axonframework.test",6,4,86,3,""
"axon-test-5.1.1","org.axonframework.test.extension",6,4,86,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.tracing",16,12,56,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.sequencing",16,11,56,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.timeout",16,8,56,3,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event",9,14,51,3,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig",9,8,51,3,""
"axon-common-5.1.1","org.axonframework.common.lifecycle",9,4,51,3,""
"axon-common-5.1.1","org.axonframework.common.jdbc",7,12,30,3,""
"axon-common-5.1.1","org.axonframework.common.util",15,5,5,3,""
"axon-messaging-5.1.1","org.axonframework.messaging.core",0,85,173,4,""
"axon-common-5.1.1","org.axonframework.common",0,31,173,4,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation",0,11,173,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.correlation",0,6,173,4,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.api",0,5,173,4,""
"axon-conversion-5.1.1","org.axonframework.conversion",3,11,164,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay.annotation",3,11,164,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction",2,5,103,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.gateway",2,5,103,4,""
"axon-modelling-5.1.1","org.axonframework.modelling.annotation",11,10,92,4,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation",6,11,86,4,""
"axon-common-5.1.1","org.axonframework.common",13,31,69,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",13,14,69,4,""
"axon-common-5.1.1","org.axonframework.common.jdbc",13,12,69,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling",16,17,56,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay.annotation",16,11,56,4,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query",9,8,51,4,""
"axon-common-5.1.1","org.axonframework.common.configuration",8,50,43,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled",8,25,43,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",8,14,43,4,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot",8,6,43,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.sequencing",3,11,164,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay",3,11,164,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.annotation",3,7,164,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.timeout",2,8,103,5,""
"axon-modelling-5.1.1","org.axonframework.modelling",11,16,92,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.interception",11,6,92,5,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event",1,14,86,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.annotation",6,11,86,5,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation.reflection",6,6,86,5,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event",10,14,68,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay",16,11,56,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",9,14,51,5,""
"axon-common-5.1.1","org.axonframework.common",5,31,36,5,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.shared",5,7,36,5,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.tracing",3,7,164,6,""
