"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-modelling-4.11.2",,,true,,,1,13,5,13,1,1,1,"/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/common/lock","axon-modelling-4.11.2 -> axon-messaging-4.11.2","",""
"axon-server-connector-4.11.2",,,false,,,1,13,5,13,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/heartbeat","axon-server-connector-4.11.2 -> axon-server-connector-4.11.2","",""
"axon-server-connector-4.11.2",,,false,,,2,40,3,40,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/util","axon-server-connector-4.11.2 -> axon-server-connector-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,false,,,1,13,5,13,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/autoconfig,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util/legacyjpa","axon-spring-boot-autoconfigure-4.11.2 -> axon-spring-boot-autoconfigure-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,false,,,2,40,3,40,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator/axonserver,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/service/connection,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util/jpa","axon-spring-boot-autoconfigure-4.11.2 -> axon-spring-boot-autoconfigure-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,false,,,3,15,2,15,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot","axon-spring-boot-autoconfigure-4.11.2 -> axon-spring-boot-autoconfigure-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,true,,,1,13,5,13,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling/deadletter/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling/tokenstore/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing/eventstore/legacyjpa","axon-spring-boot-autoconfigure-4.11.2 -> axon-modelling-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-messaging-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-eventsourcing-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,true,,,2,40,3,40,34,1,34,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/command,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/jdbc,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/commandhandling/distributed,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/commandhandling/gateway","axon-spring-boot-autoconfigure-4.11.2 -> axon-modelling-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-messaging-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-server-connector-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-tracing-opentelemetry-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,true,,,3,15,2,15,12,1,12,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/jpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/common/jdbc","axon-spring-boot-autoconfigure-4.11.2 -> axon-modelling-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-messaging-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-server-connector-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-test-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,true,,,4,7,1,7,7,1,7,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/config,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/common/digest,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/common/transaction,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/lifecycle","axon-spring-boot-autoconfigure-4.11.2 -> axon-configuration-4.11.2,axon-spring-boot-autoconfigure-4.11.2 -> axon-messaging-4.11.2","",""
"axon-spring-boot-autoconfigure-4.11.2",,,true,,,5,8,1,8,8,1,8,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/commandhandling,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/common,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/deadline,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling","axon-spring-boot-autoconfigure-4.11.2 -> axon-messaging-4.11.2","",""
"axon-test-4.11.2",,,false,,,1,13,5,13,3,2,3,"/org/axonframework/test/aggregate -> /org/axonframework/test/deadline,/org/axonframework/test/saga -> /org/axonframework/test/eventscheduler,/org/axonframework/test/saga -> /org/axonframework/test/utils","axon-test-4.11.2 -> axon-test-4.11.2","",""
"axon-test-4.11.2",,,false,,,2,40,3,40,1,1,1,"/org/axonframework/test/aggregate -> /org/axonframework/test/matchers","axon-test-4.11.2 -> axon-test-4.11.2","",""
